Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Ozzie Albies,645277,144,106.0,97.0,63.0,26.0,4.0,15.0,77.0,35.0,4.0,118.0,3.0,0.282,418.0,0.341,0.471,0.812,2.0,8.0,0.8,2.0,1623.0,458.0,197.0,57.0,145.0,0.0,2.0,0.314,0.76,0.276,8.0,0.344,0.827,0.483,0.242,15.0,0.288,0.691,0.403,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,11.0,0.182,2.0,0.182,0.455,0.273,0.0,False
Ronald Acuna Jr.,660670,144,106.0,83.0,83.0,13.0,1.0,25.0,116.0,50.0,2.0,125.0,8.0,0.292,428.0,0.377,0.502,0.879,4.0,24.0,0.857,7.0,2078.0,489.0,215.0,64.0,143.0,0.0,0.0,0.348,0.8,0.286,8.0,0.394,0.894,0.5,0.297,19.0,0.384,0.837,0.453,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,12.0,0.25,3.0,0.25,0.583,0.333,1.0,False
Tyler Flowers,452095,144,55.0,38.0,23.0,6.0,2.0,8.0,72.0,19.0,3.0,41.0,3.0,0.229,179.0,0.312,0.419,0.731,0.0,0.0,0.0,5.0,815.0,202.0,75.0,19.0,77.0,0.0,1.0,0.33,1.31,0.13,3.0,0.2,0.504,0.304,0.14,7.0,0.218,0.518,0.3,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,10.0,0.1,1.0,0.357,0.457,0.1,1.0,False
Brian Anderson,605119,146,103.0,107.0,43.0,24.0,1.0,15.0,91.0,36.0,1.0,93.0,8.0,0.247,376.0,0.325,0.436,0.761,1.0,4.0,0.8,14.0,1548.0,422.0,164.0,48.0,144.0,0.0,2.0,0.287,1.23,0.286,8.0,0.31,0.881,0.571,0.226,14.0,0.25,0.718,0.468,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.333,1.0,0.333,1.666,1.333,0.0,True
Bryan Holaday,592407,146,21.0,19.0,7.0,2.0,0.0,2.0,9.0,7.0,1.0,18.0,1.0,0.29,62.0,0.371,0.419,0.791,1.0,0.0,0.0,4.0,282.0,71.0,26.0,7.0,25.0,1.0,0.0,0.314,1.12,0.261,6.0,0.32,0.624,0.304,0.304,14.0,0.373,0.764,0.391,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Cesar Puello,527049,146,39.0,42.0,13.0,5.0,0.0,4.0,33.0,9.0,1.0,30.0,9.0,0.259,116.0,0.358,0.405,0.763,0.0,0.0,0.0,2.0,525.0,135.0,47.0,17.0,44.0,1.0,0.0,0.329,3.5,0.143,3.0,0.143,0.476,0.333,0.2,9.0,0.25,0.539,0.289,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Curtis Granderson,434158,146,90.0,53.0,34.0,14.0,1.0,9.0,76.0,28.0,1.0,44.0,3.0,0.179,246.0,0.269,0.354,0.622,3.0,0.0,0.0,3.0,1192.0,279.0,87.0,27.0,86.0,0.0,2.0,0.215,0.71,0.105,2.0,0.19,0.453,0.263,0.118,4.0,0.268,0.592,0.324,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Garrett Cooper,643265,146,67.0,74.0,41.0,9.0,1.0,11.0,73.0,23.0,0.0,73.0,4.0,0.296,247.0,0.364,0.474,0.837,0.0,0.0,0.0,7.0,1127.0,275.0,117.0,38.0,81.0,0.0,1.0,0.378,2.64,0.179,5.0,0.179,0.393,0.214,0.246,14.0,0.317,0.721,0.404,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Harold Ramirez,623912,146,64.0,85.0,35.0,12.0,0.0,6.0,48.0,9.0,0.0,65.0,4.0,0.275,236.0,0.312,0.403,0.715,0.0,2.0,1.0,5.0,934.0,250.0,95.0,31.0,91.0,0.0,1.0,0.322,2.18,0.25,6.0,0.269,0.769,0.5,0.22,11.0,0.273,0.733,0.46,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Jorge Alfaro,595751,146,82.0,71.0,27.0,9.0,1.0,11.0,101.0,9.0,0.0,74.0,7.0,0.267,277.0,0.305,0.426,0.731,3.0,2.0,0.4,5.0,1087.0,295.0,118.0,35.0,129.0,0.0,2.0,0.377,2.15,0.19,4.0,0.174,0.507,0.333,0.234,11.0,0.24,0.602,0.362,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Martin Prado,445988,146,56.0,61.0,17.0,8.0,0.0,1.0,25.0,6.0,0.0,41.0,0.0,0.244,168.0,0.267,0.31,0.577,0.0,0.0,0.0,5.0,690.0,176.0,52.0,13.0,47.0,0.0,2.0,0.278,1.42,0.313,5.0,0.313,0.688,0.375,0.273,12.0,0.289,0.63,0.341,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Miguel Rojas,500743,146,100.0,101.0,41.0,21.0,0.0,4.0,50.0,28.0,2.0,103.0,4.0,0.289,356.0,0.344,0.382,0.726,4.0,6.0,0.6,11.0,1404.0,393.0,136.0,33.0,133.0,0.0,5.0,0.322,0.94,0.391,9.0,0.417,1.2,0.783,0.268,15.0,0.3,0.729,0.429,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.333,1.0,0.333,1.666,1.333,0.0,True
Neil Walker,435522,146,77.0,53.0,22.0,13.0,0.0,5.0,54.0,27.0,0.0,58.0,1.0,0.26,223.0,0.341,0.386,0.727,0.0,2.0,1.0,6.0,988.0,252.0,86.0,21.0,109.0,0.0,1.0,0.321,0.9,0.15,3.0,0.28,0.53,0.25,0.22,9.0,0.313,0.606,0.293,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,1.0,0.0,0.0,0.667,0.667,0.0,1.0,True
Starlin Castro,516770,146,104.0,129.0,29.0,14.0,3.0,8.0,74.0,17.0,1.0,103.0,1.0,0.25,412.0,0.278,0.357,0.634,1.0,2.0,0.667,15.0,1646.0,436.0,147.0,43.0,173.0,0.0,6.0,0.283,1.15,0.292,7.0,0.333,0.708,0.375,0.281,16.0,0.311,0.767,0.456,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Yadiel Rivera,592680,146,30.0,18.0,7.0,2.0,0.0,0.0,20.0,6.0,0.0,10.0,0.0,0.175,57.0,0.254,0.211,0.464,0.0,2.0,1.0,1.0,258.0,63.0,12.0,3.0,23.0,0.0,0.0,0.27,2.0,0.067,1.0,0.125,0.192,0.067,0.2,6.0,0.294,0.527,0.233,0.269,6.49,1.02,9.91,2.41,26.1,16.56,7.59,0.0,0.66,4.2,7.18,1.71,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Adam Jones,430945,109,96.0,106.0,53.0,20.0,0.0,13.0,68.0,21.0,2.0,98.0,7.0,0.266,369.0,0.316,0.425,0.741,1.0,2.0,0.667,14.0,1433.0,400.0,157.0,46.0,144.0,0.0,2.0,0.293,1.07,0.24,6.0,0.296,0.576,0.28,0.276,16.0,0.333,0.661,0.328,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,2.0,0.0,0.0,0.333,0.333,0.0,0.0,False
Alex Avila,488671,109,36.0,32.0,14.0,5.0,0.0,6.0,35.0,23.0,5.0,20.0,1.0,0.211,95.0,0.37,0.453,0.822,0.0,1.0,1.0,6.0,486.0,119.0,43.0,15.0,36.0,0.0,0.0,0.259,4.0,0.13,3.0,0.231,0.535,0.304,0.2,10.0,0.298,0.798,0.5,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Carson Kelly,608348,109,73.0,44.0,28.0,17.0,0.0,13.0,47.0,28.0,7.0,55.0,1.0,0.268,205.0,0.357,0.541,0.899,0.0,0.0,0.0,8.0,1018.0,235.0,111.0,36.0,90.0,0.0,1.0,0.288,0.73,0.263,5.0,0.364,1.048,0.684,0.261,12.0,0.37,0.957,0.587,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Christian Walker,572233,109,100.0,74.0,54.0,20.0,1.0,19.0,111.0,39.0,2.0,88.0,5.0,0.251,351.0,0.333,0.476,0.809,1.0,7.0,0.875,5.0,1604.0,396.0,167.0,51.0,159.0,0.0,1.0,0.311,0.94,0.125,3.0,0.214,0.339,0.125,0.176,9.0,0.328,0.622,0.294,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True
David Peralta,444482,109,78.0,84.0,40.0,24.0,2.0,9.0,75.0,27.0,3.0,86.0,4.0,0.281,306.0,0.346,0.461,0.807,0.0,0.0,0.0,8.0,1238.0,338.0,141.0,45.0,126.0,0.0,1.0,0.345,1.35,0.211,4.0,0.286,0.497,0.211,0.208,10.0,0.269,0.54,0.271,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,2.0,0.5,1.0,0.5,2.5,2.0,1.0,False
Eduardo Escobar,500871,109,105.0,81.0,66.0,20.0,9.0,22.0,92.0,37.0,1.0,118.0,3.0,0.284,415.0,0.342,0.535,0.877,1.0,4.0,0.8,4.0,1773.0,462.0,222.0,80.0,163.0,0.0,7.0,0.312,0.62,0.2,5.0,0.355,0.715,0.36,0.222,14.0,0.286,0.794,0.508,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,4.0,0.25,1.0,0.25,0.5,0.25,1.0,False
Jake Lamb,571875,109,29.0,17.0,15.0,6.0,1.0,3.0,24.0,16.0,1.0,19.0,3.0,0.235,81.0,0.38,0.444,0.824,0.0,0.0,0.0,2.0,430.0,100.0,36.0,12.0,32.0,0.0,0.0,0.296,0.81,0.25,5.0,0.318,0.868,0.55,0.25,10.0,0.412,0.962,0.55,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jarrod Dyson,502481,109,85.0,79.0,46.0,7.0,2.0,6.0,57.0,34.0,0.0,68.0,1.0,0.251,271.0,0.336,0.358,0.693,2.0,24.0,0.923,1.0,1165.0,307.0,97.0,21.0,71.0,0.0,1.0,0.297,1.16,0.182,4.0,0.308,0.49,0.182,0.222,12.0,0.288,0.584,0.296,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,False
Ketel Marte,606466,109,103.0,110.0,70.0,25.0,6.0,23.0,65.0,37.0,2.0,132.0,3.0,0.32,413.0,0.378,0.576,0.954,1.0,5.0,0.833,7.0,1726.0,455.0,238.0,65.0,138.0,0.0,2.0,0.333,1.02,0.308,8.0,0.438,0.976,0.538,0.382,21.0,0.493,1.148,0.655,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,5.0,0.4,2.0,0.4,1.8,1.4,1.0,True
Nick Ahmed,605113,109,105.0,112.0,55.0,23.0,3.0,10.0,76.0,35.0,1.0,98.0,2.0,0.266,369.0,0.325,0.425,0.75,0.0,6.0,1.0,10.0,1567.0,417.0,157.0,51.0,163.0,1.0,10.0,0.3,1.19,0.217,5.0,0.357,0.748,0.391,0.271,13.0,0.393,0.768,0.375,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Tim Locastro,641796,109,58.0,36.0,23.0,7.0,2.0,0.0,23.0,10.0,0.0,35.0,14.0,0.254,138.0,0.362,0.333,0.695,0.0,9.0,1.0,0.0,647.0,164.0,46.0,14.0,61.0,1.0,1.0,0.302,0.78,0.25,4.0,0.294,0.669,0.375,0.273,12.0,0.304,0.645,0.341,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,3.0,0.333,1.0,0.333,1.0,0.667,0.0,True
Wilmer Flores,527038,109,49.0,38.0,13.0,10.0,0.0,2.0,17.0,8.0,0.0,39.0,3.0,0.275,142.0,0.325,0.387,0.712,0.0,0.0,0.0,6.0,586.0,154.0,55.0,15.0,66.0,0.0,1.0,0.298,0.78,0.214,3.0,0.313,0.599,0.286,0.265,9.0,0.324,0.677,0.353,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,8.0,0.25,2.0,0.333,0.833,0.5,0.0,True
Yasmany Tomas,630111,109,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,3.48,0.58,5.52,1.16,31.0,15.97,3.77,1.0,0.64,3.36,10.74,3.19,0.97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Derek Dietrich,518618,113,95.0,50.0,40.0,7.0,2.0,19.0,64.0,24.0,2.0,46.0,22.0,0.211,218.0,0.347,0.523,0.87,1.0,1.0,0.5,2.0,1027.0,266.0,114.0,43.0,72.0,0.0,1.0,0.199,0.85,0.143,1.0,0.333,0.619,0.286,0.125,3.0,0.344,0.677,0.333,0.333,10.95,0.94,13.86,2.98,12.1,21.0,14.13,0.0,0.63,1.33,8.76,6.57,2.27,0.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,False
