Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Eaton,594809,120,102.0,94.0,62.0,16.0,5.0,7.0,72.0,45.0,0.0,110.0,7.0,0.281,391.0,0.363,0.402,0.765,3.0,10.0,0.769,5.0,1830.0,451.0,157.0,28.0,137.0,5.0,3.0,0.327,0.76,0.208,5.0,0.321,0.821,0.5,0.276,16.0,0.338,0.821,0.483,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,17.0,0.294,5.0,0.368,0.662,0.294,0.0,False
Adrian Sanchez,506703,120,21.0,7.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.208,24.0,0.208,0.208,0.417,0.0,0.0,0.0,0.0,93.0,24.0,5.0,0.0,9.0,0.0,0.0,0.313,1.75,0.125,1.0,0.125,0.25,0.125,0.188,3.0,0.188,0.376,0.188,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Anthony Rendon,543685,120,92.0,69.0,75.0,30.0,2.0,23.0,58.0,44.0,6.0,110.0,9.0,0.318,346.0,0.404,0.616,1.02,1.0,1.0,0.5,10.0,1630.0,403.0,213.0,80.0,145.0,0.0,4.0,0.323,0.61,0.346,9.0,0.469,1.238,0.769,0.373,22.0,0.464,1.125,0.661,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,10.0,0.4,4.0,0.5,1.1,0.6,1.0,True
Brian Dozier,572821,120,99.0,63.0,42.0,19.0,0.0,15.0,85.0,46.0,1.0,76.0,4.0,0.238,320.0,0.34,0.438,0.777,2.0,3.0,0.6,7.0,1575.0,371.0,140.0,37.0,134.0,0.0,1.0,0.276,0.65,0.25,5.0,0.423,0.923,0.5,0.261,12.0,0.433,0.824,0.391,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,17.0,0.412,7.0,0.5,1.147,0.647,1.0,False
Gerardo Parra,467827,120,80.0,53.0,25.0,10.0,0.0,5.0,39.0,13.0,2.0,45.0,4.0,0.246,183.0,0.308,0.383,0.691,2.0,5.0,0.714,2.0,720.0,202.0,70.0,29.0,71.0,1.0,1.0,0.286,1.1,0.571,4.0,0.667,1.381,0.714,0.471,8.0,0.526,1.055,0.529,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,2.0,0.5,1.0,0.5,1.0,0.5,0.0,False
Howie Kendrick,435062,120,86.0,74.0,41.0,14.0,0.0,12.0,38.0,19.0,0.0,75.0,3.0,0.31,242.0,0.361,0.517,0.877,1.0,2.0,0.667,9.0,994.0,269.0,125.0,48.0,103.0,0.0,5.0,0.32,1.23,0.227,5.0,0.261,0.534,0.273,0.229,8.0,0.27,0.556,0.286,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,27.0,0.407,11.0,0.407,0.963,0.556,1.0,True
Juan Soto,665742,120,96.0,81.0,61.0,16.0,4.0,18.0,91.0,65.0,2.0,100.0,2.0,0.286,350.0,0.397,0.509,0.905,1.0,8.0,0.889,6.0,1772.0,421.0,178.0,67.0,155.0,0.0,4.0,0.335,0.99,0.208,5.0,0.375,0.75,0.375,0.2,11.0,0.348,0.675,0.327,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,6.0,0.5,3.0,0.5,1.5,1.0,0.0,True
Kurt Suzuki,435559,120,60.0,52.0,22.0,7.0,0.0,11.0,27.0,14.0,1.0,50.0,4.0,0.258,194.0,0.316,0.464,0.78,1.0,0.0,0.0,6.0,731.0,215.0,90.0,39.0,90.0,0.0,3.0,0.245,0.76,0.217,5.0,0.367,0.584,0.217,0.188,9.0,0.298,0.611,0.313,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,9.0,0.111,1.0,0.111,0.222,0.111,1.0,False
Matt Adams,571431,120,76.0,39.0,31.0,9.0,0.0,16.0,70.0,12.0,0.0,49.0,1.0,0.24,204.0,0.284,0.52,0.804,0.0,0.0,0.0,5.0,860.0,218.0,106.0,43.0,107.0,0.0,1.0,0.277,0.83,0.286,6.0,0.375,0.994,0.619,0.238,10.0,0.319,0.795,0.476,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Trea Turner,607208,120,67.0,72.0,46.0,22.0,4.0,8.0,71.0,23.0,2.0,81.0,2.0,0.284,285.0,0.342,0.474,0.816,3.0,21.0,0.875,7.0,1176.0,310.0,135.0,27.0,79.0,0.0,0.0,0.354,1.18,0.267,8.0,0.333,0.633,0.3,0.302,19.0,0.371,0.847,0.476,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,6.0,0.333,2.0,0.333,0.833,0.5,1.0,True
Victor Robles,645302,120,102.0,80.0,57.0,18.0,3.0,14.0,97.0,21.0,2.0,86.0,16.0,0.244,352.0,0.314,0.432,0.746,6.0,17.0,0.739,4.0,1485.0,398.0,152.0,46.0,145.0,6.0,3.0,0.295,0.82,0.174,4.0,0.269,0.573,0.304,0.218,12.0,0.271,0.635,0.364,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,4.0,0.25,1.0,0.5,1.25,0.75,1.0,False
Yan Gomes,543228,120,63.0,43.0,19.0,7.0,0.0,5.0,50.0,26.0,3.0,42.0,4.0,0.213,197.0,0.317,0.325,0.642,0.0,1.0,1.0,5.0,927.0,227.0,64.0,23.0,84.0,0.0,0.0,0.261,0.69,0.25,5.0,0.423,0.973,0.55,0.171,7.0,0.37,0.687,0.317,0.224,3.73,2.47,7.47,1.16,31.1,16.4,4.05,0.0,0.6,2.31,8.62,3.73,1.24,0.5,20.0,0.35,7.0,0.435,1.035,0.6,1.0,False
Adam Duvall,594807,144,3.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.417,12.0,0.385,0.667,1.051,0.0,0.0,0.0,0.0,54.0,13.0,8.0,3.0,4.0,0.0,1.0,0.5,0.33,0.417,5.0,0.385,1.052,0.667,0.417,5.0,0.385,1.052,0.667,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,11.0,0.364,4.0,0.333,1.06,0.727,1.0,True
Austin Riley,663586,144,63.0,28.0,37.0,8.0,1.0,16.0,88.0,13.0,3.0,55.0,5.0,0.241,228.0,0.296,0.496,0.791,2.0,0.0,0.0,4.0,926.0,247.0,113.0,44.0,107.0,0.0,1.0,0.312,0.48,0.167,3.0,0.211,0.433,0.222,0.156,7.0,0.204,0.382,0.178,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,5.0,0.2,1.0,0.2,0.6,0.4,1.0,False
Brian McCann,435263,144,60.0,56.0,22.0,8.0,0.0,10.0,41.0,20.0,1.0,55.0,1.0,0.278,198.0,0.338,0.47,0.807,0.0,0.0,0.0,6.0,916.0,225.0,93.0,35.0,76.0,0.0,6.0,0.294,1.08,0.407,11.0,0.407,1.148,0.741,0.302,16.0,0.339,0.811,0.472,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Charlie Culberson,518586,144,78.0,14.0,10.0,3.0,2.0,4.0,19.0,5.0,0.0,26.0,0.0,0.342,76.0,0.378,0.592,0.97,1.0,0.0,0.0,3.0,315.0,82.0,45.0,16.0,45.0,0.0,1.0,0.407,0.78,0.714,5.0,0.714,1.857,1.143,0.462,6.0,0.462,1.154,0.692,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Ender Inciarte,542255,144,49.0,52.0,19.0,5.0,1.0,4.0,31.0,16.0,2.0,31.0,3.0,0.214,145.0,0.303,0.345,0.648,1.0,4.0,0.8,0.0,620.0,165.0,50.0,15.0,63.0,0.0,1.0,0.243,1.63,0.235,4.0,0.381,0.969,0.588,0.162,6.0,0.295,0.619,0.324,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,12.0,0.333,4.0,0.385,0.718,0.333,0.0,False
Freddie Freeman,518692,144,106.0,92.0,80.0,27.0,2.0,25.0,88.0,59.0,5.0,127.0,4.0,0.308,413.0,0.398,0.564,0.962,3.0,4.0,0.571,9.0,1882.0,477.0,233.0,81.0,144.0,0.0,1.0,0.339,0.86,0.478,11.0,0.594,1.159,0.565,0.315,17.0,0.433,0.896,0.463,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,24.0,0.208,5.0,0.296,0.588,0.292,0.0,True
Johan Camargo,622666,144,76.0,57.0,23.0,10.0,1.0,4.0,33.0,8.0,1.0,41.0,0.0,0.228,180.0,0.261,0.361,0.622,0.0,1.0,1.0,3.0,683.0,188.0,65.0,23.0,70.0,0.0,0.0,0.259,1.16,0.167,4.0,0.2,0.533,0.333,0.186,8.0,0.205,0.484,0.279,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,13.0,0.385,5.0,0.429,1.198,0.769,0.0,True
Josh Donaldson,518626,144,103.0,82.0,60.0,24.0,0.0,23.0,109.0,60.0,1.0,94.0,7.0,0.257,366.0,0.371,0.511,0.882,2.0,3.0,0.6,10.0,1791.0,434.0,187.0,62.0,147.0,0.0,1.0,0.302,1.0,0.3,9.0,0.344,0.844,0.5,0.278,15.0,0.418,0.918,0.5,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,10.0,0.5,5.0,0.615,1.515,0.9,1.0,True
Matt Joyce,459964,144,80.0,18.0,13.0,7.0,0.0,3.0,20.0,16.0,0.0,24.0,0.0,0.273,88.0,0.385,0.455,0.839,0.0,0.0,0.0,1.0,427.0,104.0,40.0,10.0,40.0,0.0,0.0,0.323,0.69,0.0,0.0,0.25,0.25,0.0,0.167,2.0,0.375,0.792,0.417,0.241,2.1,1.11,8.1,0.3,30.0,17.33,2.1,0.333,0.63,5.13,12.3,2.4,1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
