Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Victor Robles,645302,120,103.0,82.0,58.0,18.0,3.0,14.0,98.0,22.0,2.0,87.0,16.0,0.244,356.0,0.315,0.43,0.745,6.0,17.0,0.739,4.0,1500.0,403.0,153.0,46.0,149.0,6.0,3.0,0.296,0.84,0.208,5.0,0.296,0.629,0.333,0.214,12.0,0.267,0.624,0.357,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Yan Gomes,543228,120,64.0,44.0,20.0,7.0,0.0,6.0,51.0,26.0,3.0,43.0,4.0,0.213,202.0,0.315,0.337,0.651,0.0,1.0,1.0,5.0,950.0,232.0,68.0,26.0,86.0,0.0,0.0,0.255,0.69,0.286,6.0,0.444,1.158,0.714,0.186,8.0,0.364,0.759,0.395,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Duvall,594807,144,4.0,2.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,9.0,0.0,0.529,17.0,0.5,1.059,1.559,0.0,0.0,0.0,0.0,71.0,18.0,18.0,5.0,4.0,0.0,1.0,0.545,0.67,0.529,9.0,0.5,1.559,1.059,0.529,9.0,0.5,1.559,1.059,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Riley,663586,144,64.0,29.0,37.0,8.0,1.0,16.0,88.0,13.0,3.0,55.0,5.0,0.24,229.0,0.294,0.493,0.788,2.0,0.0,0.0,4.0,931.0,248.0,113.0,44.0,107.0,0.0,1.0,0.31,0.5,0.067,1.0,0.125,0.192,0.067,0.167,7.0,0.217,0.407,0.19,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,7.0,0.143,1.0,0.143,0.286,0.143,0.0
Brian McCann,435263,144,61.0,59.0,23.0,8.0,0.0,10.0,41.0,20.0,1.0,56.0,1.0,0.276,203.0,0.335,0.463,0.798,0.0,0.0,0.0,6.0,932.0,230.0,94.0,36.0,78.0,0.0,6.0,0.291,1.11,0.357,10.0,0.357,0.964,0.607,0.298,17.0,0.322,0.778,0.456,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,41.0,0.317,13.0,0.378,0.963,0.585,1.0
Charlie Culberson,518586,144,79.0,15.0,10.0,3.0,2.0,4.0,20.0,5.0,0.0,26.0,0.0,0.333,78.0,0.369,0.577,0.946,1.0,0.0,0.0,3.0,324.0,84.0,45.0,16.0,48.0,0.0,1.0,0.4,0.83,0.625,5.0,0.625,1.625,1.0,0.4,6.0,0.4,1.0,0.6,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ender Inciarte,542255,144,50.0,53.0,21.0,7.0,1.0,4.0,31.0,16.0,2.0,34.0,3.0,0.227,150.0,0.312,0.367,0.678,1.0,5.0,0.833,0.0,641.0,170.0,55.0,17.0,64.0,0.0,1.0,0.259,1.61,0.318,7.0,0.423,1.105,0.682,0.231,9.0,0.348,0.784,0.436,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Freddie Freeman,518692,144,107.0,93.0,82.0,27.0,2.0,25.0,88.0,61.0,6.0,128.0,4.0,0.308,415.0,0.401,0.564,0.965,3.0,5.0,0.625,9.0,1893.0,481.0,234.0,82.0,144.0,0.0,1.0,0.34,0.87,0.45,9.0,0.613,1.113,0.5,0.353,18.0,0.485,0.995,0.51,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,18.0,0.333,6.0,0.368,0.701,0.333,1.0
Johan Camargo,622666,144,77.0,58.0,23.0,10.0,1.0,4.0,33.0,9.0,1.0,42.0,0.0,0.228,184.0,0.264,0.359,0.623,0.0,1.0,1.0,3.0,699.0,193.0,66.0,23.0,73.0,0.0,0.0,0.259,1.14,0.12,3.0,0.185,0.425,0.24,0.186,8.0,0.222,0.501,0.279,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Josh Donaldson,518626,144,104.0,84.0,61.0,24.0,0.0,24.0,110.0,60.0,1.0,95.0,7.0,0.256,371.0,0.369,0.515,0.884,2.0,3.0,0.6,10.0,1813.0,439.0,191.0,65.0,152.0,0.0,1.0,0.298,1.01,0.258,8.0,0.303,0.755,0.452,0.268,15.0,0.388,0.87,0.482,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,30.0,0.233,7.0,0.303,0.636,0.333,0.0
Matt Joyce,459964,144,80.0,18.0,13.0,7.0,0.0,3.0,20.0,16.0,0.0,24.0,0.0,0.273,88.0,0.385,0.455,0.839,0.0,0.0,0.0,1.0,427.0,104.0,40.0,10.0,40.0,0.0,0.0,0.323,0.69,0.0,0.0,0.25,0.25,0.0,0.167,2.0,0.375,0.792,0.417,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,23.0,0.217,5.0,0.25,0.815,0.565,1.0
Ozzie Albies,645277,144,107.0,97.0,65.0,28.0,4.0,15.0,79.0,36.0,4.0,121.0,3.0,0.286,423.0,0.345,0.478,0.822,2.0,8.0,0.8,2.0,1653.0,464.0,202.0,57.0,146.0,0.0,2.0,0.32,0.76,0.29,9.0,0.353,0.901,0.548,0.258,16.0,0.313,0.765,0.452,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,7.0,0.143,1.0,0.25,0.393,0.143,1.0
Ronald Acuna Jr.,660670,144,107.0,84.0,83.0,13.0,1.0,25.0,119.0,51.0,2.0,125.0,8.0,0.289,433.0,0.374,0.497,0.871,5.0,24.0,0.828,7.0,2102.0,495.0,215.0,64.0,146.0,0.0,0.0,0.346,0.8,0.207,6.0,0.324,0.634,0.31,0.286,18.0,0.384,0.781,0.397,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,9.0,0.333,3.0,0.333,0.666,0.333,0.0
Tyler Flowers,452095,144,55.0,38.0,23.0,6.0,2.0,8.0,72.0,19.0,3.0,41.0,3.0,0.229,179.0,0.312,0.419,0.731,0.0,0.0,0.0,5.0,815.0,202.0,75.0,19.0,77.0,0.0,1.0,0.33,1.31,0.13,3.0,0.2,0.504,0.304,0.14,7.0,0.218,0.518,0.3,0.22,2.7,0.69,7.8,1.2,30.0,16.2,3.0,1.0,0.64,2.2,6.6,3.0,1.2,1.0,12.0,0.333,4.0,0.333,1.25,0.917,0.0
Derek Dietrich,518618,113,96.0,50.0,40.0,7.0,2.0,19.0,66.0,24.0,2.0,46.0,22.0,0.209,220.0,0.345,0.518,0.863,1.0,1.0,0.5,2.0,1034.0,268.0,114.0,43.0,73.0,0.0,1.0,0.199,0.85,0.0,0.0,0.2,0.2,0.0,0.12,3.0,0.313,0.633,0.32,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Eugenio Suarez,553993,113,105.0,83.0,56.0,17.0,1.0,28.0,119.0,42.0,2.0,99.0,6.0,0.258,384.0,0.336,0.526,0.862,2.0,2.0,0.5,9.0,1821.0,438.0,202.0,69.0,154.0,0.0,6.0,0.292,0.93,0.333,8.0,0.385,1.01,0.625,0.333,17.0,0.407,1.172,0.765,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Winker,608385,113,98.0,101.0,45.0,15.0,2.0,14.0,54.0,32.0,2.0,79.0,7.0,0.261,303.0,0.345,0.462,0.807,1.0,0.0,0.0,10.0,1370.0,342.0,140.0,34.0,114.0,0.0,0.0,0.277,1.46,0.333,7.0,0.417,0.941,0.524,0.326,14.0,0.442,0.907,0.465,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Joey Votto,458015,113,99.0,82.0,54.0,21.0,1.0,10.0,86.0,47.0,2.0,99.0,3.0,0.265,374.0,0.351,0.406,0.757,0.0,2.0,1.0,9.0,1711.0,425.0,152.0,33.0,125.0,0.0,1.0,0.319,0.76,0.321,9.0,0.387,0.958,0.571,0.266,17.0,0.329,0.735,0.406,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jose Iglesias,578428,113,98.0,108.0,40.0,13.0,2.0,7.0,50.0,15.0,3.0,93.0,2.0,0.28,332.0,0.314,0.395,0.709,4.0,4.0,0.5,11.0,1269.0,350.0,131.0,40.0,128.0,0.0,1.0,0.312,1.32,0.273,6.0,0.36,0.905,0.545,0.267,12.0,0.313,0.757,0.444,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Peraza,606299,113,96.0,60.0,28.0,10.0,2.0,6.0,43.0,11.0,0.0,62.0,7.0,0.238,261.0,0.285,0.36,0.645,4.0,5.0,0.556,8.0,952.0,281.0,94.0,29.0,96.0,0.0,2.0,0.262,0.61,0.125,1.0,0.222,0.347,0.125,0.333,12.0,0.351,0.879,0.528,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh VanMeter,642165,113,42.0,13.0,13.0,5.0,0.0,4.0,19.0,10.0,0.0,23.0,2.0,0.307,75.0,0.402,0.533,0.936,2.0,1.0,0.333,2.0,363.0,87.0,40.0,10.0,44.0,0.0,0.0,0.365,0.65,0.5,10.0,0.545,1.595,1.05,0.412,14.0,0.487,1.34,0.853,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kyle Farmer,571657,113,69.0,26.0,16.0,4.0,0.0,6.0,42.0,5.0,1.0,28.0,2.0,0.235,119.0,0.276,0.42,0.696,1.0,4.0,0.8,1.0,546.0,127.0,50.0,22.0,55.0,0.0,1.0,0.306,1.08,0.222,4.0,0.222,0.5,0.278,0.2,6.0,0.2,0.433,0.233,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Senzel,669222,113,69.0,60.0,40.0,16.0,4.0,8.0,66.0,24.0,0.0,72.0,1.0,0.278,259.0,0.34,0.463,0.804,3.0,9.0,0.75,4.0,1130.0,287.0,120.0,29.0,73.0,0.0,1.0,0.344,0.97,0.333,7.0,0.391,0.772,0.381,0.348,16.0,0.423,0.923,0.5,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillip Ervin,640447,113,42.0,13.0,14.0,4.0,5.0,2.0,27.0,8.0,0.0,30.0,2.0,0.357,84.0,0.426,0.595,1.021,2.0,3.0,0.6,1.0,431.0,94.0,50.0,13.0,31.0,0.0,0.0,0.509,0.93,0.417,5.0,0.5,1.167,0.667,0.471,16.0,0.538,1.332,0.794,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scooter Gennett,571697,113,20.0,13.0,4.0,3.0,0.0,0.0,20.0,1.0,0.0,14.0,1.0,0.212,66.0,0.232,0.258,0.489,0.0,0.0,0.0,0.0,243.0,69.0,17.0,5.0,32.0,0.0,1.0,0.298,0.65,0.308,8.0,0.296,0.681,0.385,0.255,12.0,0.28,0.599,0.319,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tucker Barnhart,571466,113,63.0,46.0,19.0,6.0,0.0,5.0,53.0,24.0,4.0,37.0,0.0,0.215,172.0,0.31,0.337,0.647,0.0,0.0,0.0,2.0,782.0,198.0,58.0,21.0,64.0,1.0,1.0,0.278,1.21,0.333,7.0,0.391,0.82,0.429,0.256,10.0,0.348,0.656,0.308,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yasiel Puig,624577,113,100.0,75.0,51.0,15.0,1.0,22.0,89.0,23.0,1.0,94.0,5.0,0.252,373.0,0.302,0.475,0.777,5.0,14.0,0.737,9.0,1444.0,404.0,177.0,61.0,165.0,0.0,3.0,0.272,0.64,0.12,3.0,0.214,0.374,0.16,0.207,12.0,0.281,0.609,0.328,0.212,3.07,0.72,6.75,1.86,29.1,15.27,3.09,0.25,0.63,1.0,3.07,3.07,1.09,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Frazier,624428,134,99.0,111.0,54.0,23.0,4.0,5.0,48.0,27.0,4.0,102.0,7.0,0.278,367.0,0.338,0.403,0.742,3.0,3.0,0.5,1.0,1526.0,404.0,148.0,28.0,125.0,2.0,1.0,0.308,1.02,0.261,6.0,0.37,0.805,0.435,0.245,12.0,0.351,0.698,0.347,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,10.0,0.3,3.0,0.417,0.717,0.3,1.0
Bryan Reynolds,668804,134,84.0,73.0,48.0,21.0,2.0,9.0,70.0,32.0,0.0,94.0,4.0,0.329,286.0,0.401,0.51,0.912,2.0,1.0,0.333,7.0,1279.0,324.0,146.0,43.0,109.0,0.0,2.0,0.407,1.43,0.304,7.0,0.414,1.023,0.609,0.31,18.0,0.369,0.835,0.466,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Colin Moran,592567,134,102.0,71.0,35.0,18.0,1.0,11.0,80.0,19.0,2.0,87.0,2.0,0.287,303.0,0.331,0.462,0.793,0.0,0.0,0.0,6.0,1193.0,326.0,140.0,60.0,135.0,0.0,2.0,0.355,1.06,0.182,4.0,0.269,0.587,0.318,0.261,12.0,0.327,0.718,0.391,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,9.0,0.556,5.0,0.636,1.636,1.0,1.0
Corey Dickerson,572816,134,43.0,31.0,20.0,18.0,0.0,4.0,23.0,13.0,4.0,40.0,0.0,0.317,126.0,0.376,0.556,0.931,0.0,1.0,1.0,3.0,592.0,141.0,70.0,25.0,56.0,0.0,2.0,0.356,0.91,0.381,8.0,0.458,1.268,0.81,0.41,16.0,0.5,1.218,0.718,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,11.0,0.273,3.0,0.333,0.788,0.455,1.0
Elias Diaz,553869,134,70.0,64.0,23.0,13.0,0.0,1.0,39.0,16.0,0.0,55.0,0.0,0.249,221.0,0.297,0.321,0.618,0.0,0.0,0.0,9.0,992.0,239.0,71.0,21.0,93.0,0.0,2.0,0.295,0.98,0.174,4.0,0.174,0.435,0.261,0.149,7.0,0.167,0.358,0.191,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,5.0,0.2,1.0,0.286,1.086,0.8,0.0
Jacob Stallings,607732,134,35.0,21.0,11.0,2.0,0.0,2.0,20.0,7.0,5.0,24.0,1.0,0.296,81.0,0.36,0.395,0.755,0.0,0.0,0.0,0.0,300.0,89.0,32.0,5.0,33.0,0.0,0.0,0.373,1.31,0.263,5.0,0.3,0.774,0.474,0.273,9.0,0.333,0.727,0.394,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Osuna,591741,134,46.0,24.0,16.0,6.0,0.0,7.0,18.0,5.0,0.0,25.0,1.0,0.284,88.0,0.33,0.591,0.921,0.0,0.0,0.0,2.0,367.0,95.0,52.0,18.0,34.0,0.0,0.0,0.286,1.14,0.222,4.0,0.263,0.819,0.556,0.206,7.0,0.229,0.611,0.382,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Bell,605137,134,105.0,108.0,74.0,34.0,3.0,27.0,93.0,51.0,8.0,112.0,3.0,0.284,395.0,0.365,0.59,0.955,1.0,0.0,0.0,7.0,1792.0,455.0,233.0,88.0,156.0,0.0,6.0,0.302,1.23,0.2,5.0,0.286,0.566,0.28,0.163,8.0,0.305,0.529,0.224,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,13.0,0.154,2.0,0.313,0.544,0.231,1.0
Jung Ho Kang,628356,134,65.0,44.0,15.0,7.0,1.0,10.0,60.0,11.0,0.0,29.0,1.0,0.169,172.0,0.222,0.395,0.617,0.0,0.0,0.0,4.0,719.0,185.0,68.0,24.0,83.0,0.0,1.0,0.184,1.1,0.063,1.0,0.118,0.368,0.25,0.152,5.0,0.176,0.54,0.364,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0
Kevin Newman,621028,134,79.0,99.0,28.0,13.0,2.0,6.0,38.0,18.0,2.0,92.0,1.0,0.313,294.0,0.354,0.432,0.785,5.0,8.0,0.615,3.0,1169.0,316.0,127.0,36.0,124.0,2.0,1.0,0.343,1.46,0.226,7.0,0.25,0.476,0.226,0.274,17.0,0.308,0.598,0.29,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,3.0,0.333,1.0,0.333,0.666,0.333,0.0
Melky Cabrera,466320,134,91.0,87.0,32.0,18.0,1.0,6.0,26.0,13.0,2.0,83.0,1.0,0.309,269.0,0.343,0.45,0.793,0.0,2.0,1.0,10.0,965.0,284.0,121.0,35.0,107.0,1.0,0.0,0.325,1.18,0.333,6.0,0.368,0.924,0.556,0.268,11.0,0.302,0.668,0.366,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,5.0,0.2,1.0,0.333,0.533,0.2,1.0
Starling Marte,516782,134,96.0,131.0,74.0,24.0,4.0,18.0,70.0,17.0,0.0,115.0,10.0,0.285,403.0,0.327,0.499,0.826,3.0,14.0,0.824,13.0,1544.0,436.0,201.0,61.0,164.0,2.0,4.0,0.304,1.41,0.345,10.0,0.387,0.973,0.586,0.323,20.0,0.373,0.954,0.581,0.212,3.13,1.83,6.82,1.44,31.2,15.41,3.17,1.0,0.63,3.5,9.95,2.84,1.07,0.5,12.0,0.083,1.0,0.214,0.297,0.083,0.0
Aaron Hicks,543305,147,56.0,51.0,39.0,10.0,0.0,12.0,66.0,30.0,0.0,50.0,0.0,0.238,210.0,0.329,0.457,0.786,2.0,1.0,0.333,2.0,1019.0,243.0,96.0,36.0,103.0,0.0,3.0,0.281,1.11,0.167,5.0,0.265,0.632,0.367,0.25,15.0,0.328,0.811,0.483,0.225,2.18,1.09,7.36,0.55,33.0,14.76,2.18,0.0,0.65,11.67,9.55,0.82,0.91,0.67,3.0,0.333,1.0,0.333,0.666,0.333,1.0
