Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Adam Eaton,594809,120,103.0,95.0,63.0,16.0,5.0,7.0,72.0,46.0,0.0,111.0,7.0,0.281,395.0,0.364,0.4,0.764,3.0,10.0,0.769,5.0,1849.0,456.0,158.0,28.0,138.0,5.0,3.0,0.326,0.76,0.217,5.0,0.357,0.748,0.391,0.293,17.0,0.364,0.864,0.5,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,4.0,0.5,2.0,0.5,1.25,0.75,1.0
Adrian Sanchez,506703,120,22.0,7.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,0.0,0.2,25.0,0.231,0.2,0.431,0.0,0.0,0.0,0.0,110.0,26.0,5.0,0.0,10.0,0.0,0.0,0.294,1.4,0.111,1.0,0.2,0.311,0.111,0.188,3.0,0.235,0.423,0.188,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Rendon,543685,120,93.0,70.0,76.0,30.0,2.0,23.0,58.0,44.0,6.0,111.0,9.0,0.318,349.0,0.404,0.613,1.017,1.0,1.0,0.5,10.0,1639.0,406.0,214.0,80.0,145.0,0.0,4.0,0.324,0.61,0.346,9.0,0.452,1.106,0.654,0.362,21.0,0.456,1.094,0.638,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,4.0,0.25,1.0,0.25,0.5,0.25,0.0
Brian Dozier,572821,120,100.0,63.0,43.0,19.0,0.0,15.0,86.0,47.0,1.0,78.0,4.0,0.241,324.0,0.343,0.438,0.781,2.0,3.0,0.6,7.0,1595.0,376.0,142.0,39.0,136.0,0.0,1.0,0.281,0.64,0.333,7.0,0.481,1.052,0.571,0.292,14.0,0.443,0.86,0.417,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,3.0,0.333,1.0,0.333,0.666,0.333,0.0
Gerardo Parra,467827,120,81.0,53.0,25.0,10.0,0.0,5.0,40.0,13.0,2.0,45.0,4.0,0.243,185.0,0.305,0.378,0.684,2.0,5.0,0.714,2.0,727.0,204.0,70.0,29.0,71.0,1.0,1.0,0.284,1.08,0.375,3.0,0.5,1.0,0.5,0.438,7.0,0.5,1.0,0.5,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Howie Kendrick,435062,120,87.0,76.0,42.0,16.0,0.0,12.0,38.0,19.0,0.0,78.0,3.0,0.316,247.0,0.365,0.526,0.891,1.0,2.0,0.667,9.0,1008.0,274.0,130.0,48.0,104.0,0.0,5.0,0.327,1.27,0.308,8.0,0.333,0.756,0.423,0.256,10.0,0.293,0.626,0.333,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Soto,665742,120,97.0,81.0,62.0,16.0,4.0,19.0,92.0,66.0,2.0,101.0,2.0,0.285,354.0,0.397,0.514,0.911,1.0,8.0,0.889,6.0,1791.0,426.0,182.0,69.0,158.0,0.0,4.0,0.332,0.96,0.25,6.0,0.424,0.966,0.542,0.2,11.0,0.357,0.739,0.382,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,4.0,0.5,2.0,0.5,1.0,0.5,1.0
Kurt Suzuki,435559,120,61.0,53.0,22.0,7.0,0.0,11.0,27.0,14.0,1.0,50.0,4.0,0.256,195.0,0.315,0.462,0.776,1.0,0.0,0.0,6.0,732.0,216.0,90.0,39.0,90.0,0.0,3.0,0.244,0.78,0.238,5.0,0.385,0.623,0.238,0.2,9.0,0.315,0.648,0.333,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,1.0,0.0,0.0,0.667,0.667,0.0,0.0
Matt Adams,571431,120,76.0,39.0,31.0,9.0,0.0,16.0,70.0,12.0,0.0,49.0,1.0,0.24,204.0,0.284,0.52,0.804,0.0,0.0,0.0,5.0,860.0,218.0,106.0,43.0,107.0,0.0,1.0,0.277,0.83,0.286,6.0,0.375,0.994,0.619,0.238,10.0,0.319,0.795,0.476,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,4.0,0.25,1.0,0.25,1.25,1.0,1.0
Trea Turner,607208,120,68.0,72.0,47.0,22.0,4.0,9.0,73.0,23.0,2.0,82.0,2.0,0.284,289.0,0.341,0.481,0.822,3.0,21.0,0.875,7.0,1196.0,314.0,139.0,28.0,81.0,0.0,0.0,0.353,1.16,0.241,7.0,0.313,0.692,0.379,0.297,19.0,0.357,0.873,0.516,0.325,3.45,1.72,12.24,0.64,28.2,15.63,3.51,1.0,0.69,4.67,8.79,1.88,1.57,0.67,4.0,0.5,2.0,0.5,1.25,0.75,0.0
