Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Bo Bichette,666182,141,12.0,12.0,8.0,9.0,0.0,4.0,12.0,5.0,0.0,20.0,0.0,0.385,52.0,0.439,0.788,1.227,2.0,1.0,0.333,1.0,227.0,57.0,41.0,7.0,18.0,0.0,0.0,0.444,1.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0
Brandon Drury,592273,141,90.0,82.0,35.0,16.0,1.0,13.0,89.0,19.0,0.0,72.0,1.0,0.229,315.0,0.272,0.41,0.682,0.0,0.0,0.0,5.0,1359.0,338.0,129.0,32.0,135.0,0.0,3.0,0.273,1.09,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Cavan Biggio,624415,141,61.0,37.0,39.0,7.0,0.0,10.0,73.0,43.0,0.0,44.0,0.0,0.208,212.0,0.34,0.382,0.722,0.0,9.0,1.0,0.0,1137.0,257.0,81.0,29.0,76.0,0.0,1.0,0.262,0.63,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Danny Jansen,643376,141,88.0,73.0,30.0,12.0,1.0,10.0,66.0,23.0,0.0,58.0,4.0,0.206,281.0,0.275,0.363,0.638,0.0,0.0,0.0,6.0,1162.0,310.0,102.0,38.0,105.0,1.0,1.0,0.233,0.85,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Fisher,605233,141,25.0,21.0,12.0,2.0,1.0,3.0,21.0,8.0,0.0,15.0,0.0,0.211,71.0,0.291,0.394,0.686,1.0,4.0,0.8,0.0,299.0,79.0,28.0,9.0,27.0,0.0,0.0,0.255,1.5,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Freddy Galvis,520471,141,113.0,102.0,55.0,24.0,1.0,18.0,111.0,21.0,1.0,120.0,0.0,0.271,443.0,0.303,0.451,0.755,1.0,4.0,0.8,11.0,1785.0,466.0,200.0,54.0,171.0,1.0,1.0,0.324,0.91,24.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Justin Smoak,475253,141,94.0,82.0,43.0,8.0,0.0,18.0,79.0,66.0,1.0,66.0,5.0,0.206,321.0,0.349,0.399,0.747,0.0,0.0,0.0,6.0,1636.0,393.0,128.0,48.0,134.0,0.0,1.0,0.213,0.86,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,11.0,0.182,2.0,0.182,0.455,0.273,1.0
Randal Grichuk,545341,141,110.0,93.0,53.0,19.0,2.0,20.0,125.0,30.0,0.0,101.0,4.0,0.238,425.0,0.293,0.433,0.726,1.0,2.0,0.667,11.0,1776.0,460.0,184.0,52.0,197.0,0.0,1.0,0.288,0.87,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,8.0,0.125,1.0,0.125,0.25,0.125,0.0
Reese McGuire,624512,141,7.0,7.0,4.0,1.0,0.0,2.0,7.0,0.0,0.0,7.0,0.0,0.28,25.0,0.28,0.56,0.84,0.0,0.0,0.0,1.0,87.0,25.0,14.0,3.0,12.0,0.0,0.0,0.313,1.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Teoscar Hernandez,606192,141,87.0,57.0,42.0,11.0,1.0,17.0,100.0,29.0,1.0,66.0,1.0,0.224,294.0,0.295,0.442,0.738,1.0,4.0,0.8,5.0,1336.0,325.0,130.0,43.0,127.0,0.0,1.0,0.275,0.79,17.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,7.11,0.74,11.37,0.0,6.1,23.53,8.85,1.0,0.66,2.67,11.37,4.26,1.74,0.0,5.0,0.2,1.0,0.2,0.4,0.2,0.0
