Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBatsPerHomeRun_h2h,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Brian Anderson,605119,146,106.0,112.0,44.0,24.0,1.0,16.0,92.0,38.0,1.0,94.0,9.0,0.243,387.0,0.323,0.434,0.758,1.0,5.0,0.833,14.0,1593.0,436.0,168.0,52.0,147.0,0.0,2.0,0.278,1.23,24.19,9.33,0.25,7.0,0.323,0.93,0.607,20.0,0.217,13.0,0.266,0.716,0.45,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bryan Holaday,592407,146,22.0,20.0,7.0,2.0,0.0,2.0,10.0,8.0,2.0,19.0,1.0,0.288,66.0,0.373,0.409,0.782,1.0,0.0,0.0,4.0,300.0,76.0,27.0,7.0,28.0,1.0,0.0,0.315,1.11,33.0,0.0,0.261,6.0,0.346,0.607,0.261,47.0,0.298,14.0,0.365,0.748,0.383,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Cesar Puello,527049,146,42.0,44.0,13.0,5.0,0.0,4.0,36.0,9.0,1.0,31.0,9.0,0.252,123.0,0.348,0.39,0.738,0.0,0.0,0.0,2.0,551.0,142.0,48.0,17.0,47.0,1.0,0.0,0.325,3.38,30.75,19.0,0.211,4.0,0.211,0.632,0.421,43.0,0.209,9.0,0.261,0.563,0.302,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Curtis Granderson,434158,146,93.0,53.0,35.0,16.0,1.0,9.0,80.0,29.0,1.0,46.0,3.0,0.181,254.0,0.271,0.358,0.629,3.0,0.0,0.0,3.0,1233.0,288.0,91.0,28.0,89.0,0.0,2.0,0.222,0.69,28.22,0.0,0.176,3.0,0.263,0.557,0.294,38.0,0.132,5.0,0.25,0.539,0.289,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,8.0,0.375,3.0,0.545,1.045,0.5,1.0,False
Garrett Cooper,643265,146,70.0,75.0,41.0,9.0,1.0,11.0,74.0,23.0,0.0,73.0,4.0,0.292,250.0,0.36,0.468,0.828,0.0,0.0,0.0,7.0,1139.0,278.0,117.0,38.0,81.0,0.0,1.0,0.373,2.59,22.73,0.0,0.211,4.0,0.211,0.474,0.263,0.0,0.2,10.0,0.231,0.491,0.26,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Harold Ramirez,623912,146,67.0,87.0,36.0,12.0,1.0,7.0,50.0,10.0,1.0,67.0,4.0,0.272,246.0,0.31,0.415,0.725,0.0,2.0,1.0,5.0,974.0,261.0,102.0,33.0,93.0,0.0,1.0,0.316,2.02,35.14,12.5,0.24,6.0,0.259,0.819,0.56,13.0,0.231,12.0,0.268,0.806,0.538,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,3.0,0.333,1.0,0.333,1.333,1.0,0.0,True
Jon Berti,542932,146,24.0,19.0,14.0,3.0,0.0,2.0,19.0,7.0,0.0,17.0,1.0,0.254,67.0,0.329,0.388,0.717,0.0,1.0,1.0,1.0,300.0,76.0,26.0,5.0,30.0,0.0,1.0,0.319,1.46,33.5,25.0,0.32,8.0,0.346,0.906,0.56,22.5,0.267,12.0,0.327,0.794,0.467,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Jorge Alfaro,595751,146,85.0,73.0,27.0,9.0,1.0,11.0,103.0,9.0,0.0,74.0,7.0,0.261,284.0,0.298,0.415,0.714,3.0,2.0,0.4,5.0,1112.0,302.0,118.0,35.0,134.0,0.0,2.0,0.366,2.03,25.82,0.0,0.048,1.0,0.045,0.093,0.048,42.0,0.19,8.0,0.2,0.486,0.286,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Martin Prado,445988,146,59.0,61.0,18.0,8.0,0.0,1.0,29.0,6.0,0.0,42.0,0.0,0.24,175.0,0.262,0.303,0.565,0.0,0.0,0.0,5.0,719.0,183.0,53.0,13.0,48.0,0.0,2.0,0.279,1.36,175.0,0.0,0.263,5.0,0.263,0.579,0.316,0.0,0.237,9.0,0.256,0.545,0.289,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
Miguel Rojas,500743,146,103.0,102.0,42.0,21.0,0.0,4.0,52.0,28.0,2.0,106.0,4.0,0.29,366.0,0.342,0.38,0.722,4.0,6.0,0.6,11.0,1445.0,403.0,139.0,33.0,133.0,0.0,5.0,0.324,0.92,91.5,8.67,0.385,10.0,0.407,1.138,0.731,18.0,0.296,16.0,0.333,0.796,0.463,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0,True
