Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBatsPerHomeRun_h2h,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Neil Walker,435522,146,80.0,53.0,22.0,14.0,0.0,5.0,57.0,29.0,0.0,61.0,1.0,0.261,234.0,0.343,0.385,0.728,0.0,2.0,1.0,6.0,1042.0,265.0,90.0,23.0,110.0,0.0,1.0,0.324,0.83,46.8,0.0,0.211,4.0,0.385,0.701,0.316,0.0,0.222,10.0,0.333,0.644,0.311,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,3.0,0.333,1.0,0.333,1.0,0.667,1.0,True
Starlin Castro,516770,146,107.0,130.0,31.0,14.0,3.0,8.0,79.0,17.0,1.0,106.0,1.0,0.249,426.0,0.276,0.352,0.628,1.0,2.0,0.667,15.0,1705.0,450.0,150.0,43.0,181.0,0.0,6.0,0.284,1.11,53.25,0.0,0.259,7.0,0.3,0.596,0.296,28.5,0.228,13.0,0.262,0.63,0.368,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,5.0,0.4,2.0,0.4,0.8,0.4,0.0,True
Yadiel Rivera,592680,146,33.0,19.0,8.0,2.0,0.0,0.0,20.0,6.0,0.0,11.0,0.0,0.183,60.0,0.258,0.217,0.474,0.0,2.0,1.0,1.0,268.0,66.0,13.0,3.0,25.0,0.0,0.0,0.275,1.9,0.0,0.0,0.1,1.0,0.1,0.2,0.1,0.0,0.233,7.0,0.281,0.548,0.267,0.243,2.37,0.7,8.31,0.9,30.1,15.07,2.99,1.0,0.64,3.5,8.31,2.37,1.19,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Byron Buxton,621439,142,82.0,47.0,48.0,30.0,4.0,10.0,68.0,19.0,1.0,71.0,2.0,0.262,271.0,0.314,0.513,0.827,3.0,14.0,0.824,3.0,1031.0,295.0,139.0,46.0,126.0,2.0,1.0,0.314,0.53,27.1,26.0,0.385,10.0,0.37,1.101,0.731,57.0,0.263,15.0,0.295,0.786,0.491,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,3.0,0.667,2.0,0.667,1.667,1.0,0.0,True
Eddie Rosario,592696,142,90.0,94.0,58.0,16.0,1.0,23.0,51.0,15.0,1.0,103.0,0.0,0.281,366.0,0.307,0.519,0.826,1.0,3.0,0.75,9.0,1333.0,384.0,190.0,71.0,155.0,0.0,3.0,0.271,0.78,15.91,15.0,0.267,8.0,0.258,0.758,0.5,19.33,0.276,16.0,0.283,0.749,0.466,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Ehire Adrianza,501303,142,58.0,40.0,29.0,4.0,2.0,4.0,26.0,17.0,1.0,39.0,6.0,0.275,142.0,0.371,0.415,0.787,1.0,0.0,0.0,2.0,630.0,170.0,59.0,17.0,62.0,1.0,2.0,0.307,1.0,35.5,0.0,0.25,4.0,0.368,0.868,0.5,0.0,0.286,10.0,0.375,0.832,0.457,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Jason Castro,488771,142,53.0,30.0,31.0,8.0,0.0,10.0,52.0,19.0,0.0,41.0,2.0,0.25,164.0,0.333,0.482,0.815,0.0,0.0,0.0,0.0,760.0,187.0,79.0,25.0,81.0,1.0,1.0,0.301,0.7,16.4,0.0,0.238,5.0,0.385,0.623,0.238,23.5,0.298,14.0,0.358,0.826,0.468,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Jonathan Schoop,570731,142,88.0,81.0,47.0,19.0,0.0,16.0,89.0,14.0,1.0,83.0,9.0,0.254,327.0,0.302,0.459,0.761,1.0,1.0,0.5,9.0,1252.0,351.0,150.0,44.0,170.0,0.0,1.0,0.3,1.08,20.44,21.0,0.238,5.0,0.273,0.654,0.381,17.0,0.255,13.0,0.304,0.794,0.49,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Jorge Polanco,593871,142,103.0,73.0,66.0,29.0,5.0,16.0,74.0,40.0,2.0,129.0,3.0,0.299,432.0,0.358,0.5,0.858,3.0,4.0,0.571,8.0,1924.0,481.0,216.0,52.0,147.0,1.0,5.0,0.326,0.45,27.0,29.0,0.172,5.0,0.273,0.583,0.31,20.67,0.226,14.0,0.31,0.762,0.452,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Luis Arraez,650333,142,43.0,41.0,25.0,8.0,0.0,2.0,13.0,18.0,0.0,51.0,1.0,0.349,146.0,0.422,0.445,0.867,1.0,1.0,0.5,2.0,682.0,166.0,65.0,8.0,41.0,0.0,1.0,0.371,0.98,73.0,0.0,0.267,8.0,0.333,0.633,0.3,0.0,0.283,15.0,0.387,0.727,0.34,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Marwin Gonzalez,503556,142,87.0,82.0,38.0,14.0,0.0,12.0,79.0,27.0,1.0,80.0,6.0,0.251,319.0,0.32,0.408,0.728,0.0,1.0,1.0,6.0,1394.0,353.0,130.0,35.0,122.0,0.0,1.0,0.297,1.04,26.58,23.0,0.174,4.0,0.24,0.588,0.348,27.0,0.204,11.0,0.295,0.628,0.333,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Max Kepler,596146,142,100.0,93.0,71.0,25.0,0.0,30.0,71.0,43.0,0.0,106.0,4.0,0.265,400.0,0.339,0.553,0.892,5.0,1.0,0.167,4.0,1630.0,451.0,221.0,74.0,131.0,0.0,4.0,0.251,0.69,13.33,5.4,0.296,8.0,0.424,1.35,0.926,8.29,0.293,17.0,0.388,1.112,0.724,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,3.0,3.0,0.333,1.0,0.333,1.666,1.333,1.0,True
Miguel Sano,593934,142,59.0,37.0,40.0,13.0,1.0,18.0,87.0,31.0,0.0,52.0,0.0,0.246,211.0,0.342,0.573,0.915,1.0,0.0,0.0,0.0,1075.0,243.0,121.0,38.0,105.0,0.0,1.0,0.318,1.03,11.72,12.0,0.375,9.0,0.464,1.172,0.708,10.4,0.288,15.0,0.413,1.048,0.635,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,3.0,0.333,1.0,0.333,1.0,0.667,0.0,True
Mitch Garver,641598,142,59.0,39.0,44.0,8.0,1.0,20.0,59.0,23.0,0.0,57.0,4.0,0.282,202.0,0.365,0.629,0.994,0.0,0.0,0.0,5.0,945.0,230.0,127.0,45.0,78.0,0.0,1.0,0.298,0.81,10.1,21.0,0.095,2.0,0.2,0.438,0.238,6.57,0.239,11.0,0.333,1.029,0.696,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Nelson Cruz,443558,142,80.0,59.0,51.0,17.0,0.0,26.0,93.0,38.0,2.0,84.0,7.0,0.283,297.0,0.376,0.603,0.979,1.0,0.0,0.0,8.0,1426.0,344.0,179.0,62.0,124.0,0.0,1.0,0.324,0.95,11.42,4.4,0.455,10.0,0.538,1.72,1.182,5.89,0.321,17.0,0.419,1.268,0.849,0.209,6.12,0.69,6.84,1.44,25.0,18.32,6.48,1.0,0.61,2.6,9.36,3.6,1.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Adam Haseley,656514,143,19.0,22.0,9.0,4.0,0.0,3.0,13.0,2.0,0.0,17.0,2.0,0.27,63.0,0.313,0.476,0.79,0.0,0.0,0.0,1.0,285.0,67.0,30.0,10.0,20.0,0.0,0.0,0.298,2.0,21.0,22.0,0.364,8.0,0.417,0.962,0.545,17.67,0.283,15.0,0.321,0.83,0.509,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Andrew Knapp,595284,143,50.0,21.0,8.0,3.0,0.0,1.0,31.0,14.0,1.0,15.0,2.0,0.179,84.0,0.31,0.25,0.56,0.0,0.0,0.0,2.0,417.0,102.0,21.0,4.0,48.0,2.0,0.0,0.269,1.11,84.0,0.0,0.308,4.0,0.4,0.785,0.385,0.0,0.192,5.0,0.3,0.531,0.231,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Bryce Harper,547180,143,107.0,79.0,62.0,30.0,0.0,18.0,127.0,74.0,8.0,99.0,3.0,0.252,393.0,0.373,0.466,0.839,3.0,5.0,0.625,6.0,1951.0,472.0,183.0,72.0,150.0,0.0,2.0,0.324,0.88,21.83,25.0,0.16,4.0,0.382,0.702,0.32,26.5,0.245,13.0,0.406,0.878,0.472,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,4.0,0.5,2.0,0.5,1.0,0.5,1.0,True
Cesar Hernandez,514917,143,107.0,125.0,49.0,22.0,3.0,8.0,59.0,25.0,2.0,115.0,6.0,0.285,404.0,0.333,0.413,0.746,2.0,6.0,0.75,8.0,1663.0,439.0,167.0,46.0,167.0,0.0,4.0,0.314,1.15,50.5,26.0,0.423,11.0,0.444,1.098,0.654,62.0,0.274,17.0,0.297,0.668,0.371,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,6.0,6.0,0.5,3.0,0.5,1.667,1.167,1.0,True
J.T. Realmuto,592663,143,102.0,85.0,65.0,22.0,1.0,15.0,94.0,25.0,1.0,102.0,3.0,0.274,372.0,0.322,0.46,0.781,1.0,4.0,0.8,7.0,1576.0,404.0,171.0,55.0,192.0,0.0,4.0,0.326,0.89,24.8,7.0,0.357,10.0,0.357,1.214,0.857,14.0,0.268,15.0,0.276,0.812,0.536,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,5.0,0.6,3.0,0.6,1.6,1.0,0.0,True
Jean Segura,516416,143,96.0,134.0,60.0,23.0,3.0,11.0,48.0,21.0,0.0,110.0,5.0,0.285,386.0,0.329,0.446,0.775,1.0,7.0,0.875,8.0,1478.0,414.0,172.0,44.0,142.0,1.0,1.0,0.302,1.4,35.09,24.0,0.458,11.0,0.5,1.167,0.667,51.0,0.353,18.0,0.4,0.871,0.471,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,2.0,0.0,0.0,0.333,0.333,0.0,0.0,False
Maikel Franco,596748,143,100.0,97.0,41.0,13.0,0.0,15.0,48.0,32.0,17.0,75.0,0.0,0.23,326.0,0.296,0.408,0.704,0.0,0.0,0.0,12.0,1260.0,361.0,133.0,47.0,130.0,0.0,3.0,0.226,0.89,21.73,0.0,0.148,4.0,0.179,0.327,0.148,0.0,0.17,8.0,0.231,0.422,0.191,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,5.0,0.2,1.0,0.2,0.4,0.2,0.0,False
Rhys Hoskins,656555,143,107.0,52.0,55.0,22.0,4.0,23.0,111.0,79.0,3.0,98.0,7.0,0.257,381.0,0.391,0.517,0.909,2.0,1.0,0.333,4.0,2168.0,471.0,197.0,68.0,177.0,0.0,3.0,0.3,0.42,16.56,14.0,0.214,6.0,0.267,0.767,0.5,19.0,0.228,13.0,0.333,0.789,0.456,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Roman Quinn,596451,143,32.0,21.0,10.0,2.0,0.0,2.0,26.0,8.0,0.0,10.0,0.0,0.141,71.0,0.228,0.254,0.481,0.0,4.0,1.0,0.0,285.0,80.0,18.0,5.0,28.0,1.0,0.0,0.186,1.4,35.5,8.5,0.294,5.0,0.368,1.074,0.706,13.0,0.192,5.0,0.276,0.738,0.462,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,
Scott Kingery,664068,143,76.0,48.0,41.0,20.0,2.0,13.0,89.0,21.0,0.0,77.0,4.0,0.276,279.0,0.336,0.502,0.837,2.0,8.0,0.8,1.0,1227.0,304.0,140.0,32.0,105.0,0.0,0.0,0.362,0.75,21.46,0.0,0.25,8.0,0.273,0.617,0.344,33.0,0.258,17.0,0.338,0.777,0.439,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,5.0,0.4,2.0,0.4,0.8,0.4,0.0,True
Sean Rodriguez,446481,143,38.0,15.0,14.0,3.0,0.0,3.0,21.0,7.0,0.0,16.0,2.0,0.254,63.0,0.342,0.444,0.787,1.0,1.0,0.5,1.0,317.0,76.0,28.0,10.0,28.0,3.0,1.0,0.325,1.0,21.0,4.5,0.556,5.0,0.556,1.778,1.222,8.0,0.313,5.0,0.368,1.056,0.688,0.358,6.94,1.21,14.66,0.8,11.2,18.17,9.64,1.0,0.64,2.67,6.17,2.31,1.89,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Austin Slater,596103,137,24.0,20.0,8.0,5.0,1.0,3.0,23.0,9.0,0.0,17.0,1.0,0.254,67.0,0.351,0.493,0.843,0.0,0.0,0.0,1.0,325.0,77.0,33.0,13.0,20.0,0.0,0.0,0.341,2.86,22.33,0.0,0.25,5.0,0.286,0.536,0.25,0.0,0.186,8.0,0.314,0.547,0.233,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Brandon Belt,474832,137,105.0,61.0,56.0,17.0,2.0,12.0,87.0,63.0,2.0,83.0,3.0,0.236,352.0,0.354,0.398,0.752,2.0,3.0,0.6,5.0,1764.0,421.0,140.0,38.0,143.0,0.0,3.0,0.277,0.49,29.33,27.0,0.148,4.0,0.258,0.517,0.259,61.0,0.197,12.0,0.279,0.541,0.262,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,13.0,0.154,2.0,0.267,0.421,0.154,1.0,True
Brandon Crawford,543063,137,100.0,97.0,41.0,19.0,1.0,9.0,90.0,36.0,2.0,80.0,2.0,0.231,346.0,0.305,0.37,0.675,2.0,2.0,0.5,8.0,1518.0,387.0,128.0,44.0,149.0,0.0,3.0,0.284,1.18,38.44,0.0,0.136,3.0,0.296,0.478,0.182,0.0,0.185,10.0,0.279,0.501,0.222,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,20.0,0.15,3.0,0.261,0.461,0.2,1.0,False
Buster Posey,457763,137,79.0,84.0,33.0,20.0,0.0,6.0,49.0,22.0,0.0,71.0,4.0,0.258,275.0,0.321,0.396,0.718,0.0,0.0,0.0,10.0,1163.0,302.0,109.0,31.0,111.0,0.0,1.0,0.294,1.17,45.83,25.0,0.24,6.0,0.296,0.696,0.4,19.67,0.271,16.0,0.338,0.796,0.458,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,21.0,0.095,2.0,0.125,0.22,0.095,0.0,False
Donovan Solano,456781,137,47.0,24.0,16.0,9.0,0.0,2.0,25.0,8.0,0.0,45.0,0.0,0.341,132.0,0.373,0.455,0.828,1.0,0.0,0.0,3.0,539.0,142.0,60.0,16.0,35.0,0.0,2.0,0.402,0.6,66.0,0.0,0.429,9.0,0.478,1.002,0.524,49.0,0.429,21.0,0.453,1.045,0.592,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,True
Joe Panik,605412,137,99.0,102.0,33.0,17.0,1.0,3.0,38.0,35.0,2.0,79.0,3.0,0.232,340.0,0.306,0.315,0.621,2.0,4.0,0.667,5.0,1450.0,383.0,107.0,27.0,136.0,1.0,4.0,0.251,0.81,113.33,0.0,0.154,2.0,0.214,0.445,0.231,0.0,0.256,10.0,0.31,0.618,0.308,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,14.0,0.429,6.0,0.467,0.896,0.429,1.0,True
Kevin Pillar,607680,137,109.0,115.0,52.0,26.0,1.0,13.0,65.0,12.0,3.0,99.0,5.0,0.239,414.0,0.266,0.401,0.667,3.0,8.0,0.727,12.0,1410.0,436.0,166.0,57.0,178.0,0.0,5.0,0.252,0.82,31.85,29.0,0.138,4.0,0.138,0.448,0.31,64.0,0.203,13.0,0.224,0.552,0.328,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,11.0,0.364,4.0,0.364,0.819,0.455,0.0,True
Mike Yastrzemski,573262,137,57.0,38.0,34.0,11.0,2.0,9.0,56.0,14.0,1.0,54.0,1.0,0.277,195.0,0.324,0.492,0.816,2.0,1.0,0.333,3.0,842.0,214.0,96.0,32.0,89.0,1.0,3.0,0.338,0.75,21.67,0.0,0.385,10.0,0.448,0.948,0.5,19.0,0.368,21.0,0.413,1.062,0.649,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Pablo Sandoval,467055,137,100.0,74.0,40.0,20.0,0.0,14.0,63.0,18.0,2.0,65.0,1.0,0.261,249.0,0.31,0.51,0.82,0.0,1.0,1.0,8.0,1063.0,273.0,127.0,39.0,109.0,2.0,3.0,0.291,1.42,17.79,9.5,0.263,5.0,0.391,1.023,0.632,18.67,0.232,13.0,0.306,0.752,0.446,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,13.0,13.0,0.231,3.0,0.231,0.769,0.538,1.0,False
Stephen Vogt,519390,137,60.0,19.0,19.0,17.0,2.0,5.0,40.0,16.0,0.0,40.0,1.0,0.286,140.0,0.358,0.543,0.901,1.0,0.0,0.0,0.0,645.0,159.0,76.0,20.0,61.0,0.0,2.0,0.361,0.44,28.0,14.0,0.5,7.0,0.563,1.42,0.857,10.67,0.375,12.0,0.459,1.272,0.813,0.309,4.5,1.62,11.25,0.38,24.0,16.67,5.63,0.6,0.62,2.38,7.13,3.0,1.58,0.0,0.0,6.0,0.333,2.0,0.429,0.762,0.333,1.0,True
