Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Brandon Dixon,641525,116,87.0,47.0,33.0,13.0,3.0,14.0,97.0,16.0,0.0,76.0,3.0,0.261,291.0,0.304,0.471,0.775,1.0,5.0,0.833,3.0,1235.0,312.0,137.0,43.0,125.0,0.0,2.0,0.341,0.64,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Dawel Lugo,608475,116,38.0,38.0,7.0,1.0,3.0,1.0,24.0,4.0,0.0,28.0,2.0,0.233,120.0,0.264,0.317,0.58,0.0,0.0,0.0,4.0,454.0,129.0,38.0,12.0,46.0,0.0,3.0,0.276,1.15,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Gordon Beckham,493596,116,68.0,43.0,23.0,12.0,2.0,5.0,61.0,12.0,0.0,40.0,4.0,0.214,187.0,0.276,0.38,0.656,1.0,2.0,0.667,5.0,845.0,203.0,71.0,14.0,92.0,0.0,0.0,0.289,1.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Harold Castro,605612,116,61.0,67.0,20.0,6.0,3.0,3.0,53.0,7.0,0.0,62.0,0.0,0.284,218.0,0.303,0.381,0.683,1.0,3.0,0.75,4.0,808.0,230.0,83.0,25.0,67.0,2.0,3.0,0.358,1.63,72.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Jake Rogers,668670,116,12.0,8.0,8.0,0.0,0.0,4.0,17.0,8.0,0.0,7.0,0.0,0.179,39.0,0.319,0.487,0.806,0.0,0.0,0.0,1.0,213.0,48.0,19.0,7.0,20.0,1.0,0.0,0.167,1.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
John Hicks,543308,116,73.0,60.0,21.0,11.0,0.0,8.0,80.0,12.0,0.0,51.0,0.0,0.204,250.0,0.24,0.344,0.584,0.0,1.0,1.0,7.0,998.0,263.0,86.0,20.0,135.0,0.0,1.0,0.264,1.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0,False
Jordy Mercer,474568,116,47.0,47.0,13.0,9.0,0.0,6.0,32.0,8.0,1.0,42.0,2.0,0.253,166.0,0.295,0.416,0.711,0.0,0.0,0.0,2.0,681.0,176.0,69.0,12.0,62.0,0.0,0.0,0.281,1.04,27.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Miguel Cabrera,408234,116,107.0,98.0,32.0,18.0,0.0,9.0,83.0,36.0,3.0,111.0,3.0,0.284,391.0,0.346,0.399,0.745,0.0,0.0,0.0,15.0,1615.0,434.0,156.0,48.0,129.0,0.0,4.0,0.337,0.95,43.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,5.0,0.6,3.0,0.6,2.4,1.8,0.0,True
Niko Goodrum,592348,116,108.0,81.0,60.0,25.0,5.0,11.0,132.0,45.0,1.0,102.0,1.0,0.249,409.0,0.324,0.416,0.739,3.0,12.0,0.8,7.0,1898.0,457.0,170.0,44.0,192.0,0.0,2.0,0.34,0.84,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Ronny Rodriguez,500135,116,55.0,44.0,18.0,11.0,3.0,7.0,52.0,7.0,0.0,38.0,0.0,0.217,175.0,0.243,0.434,0.678,1.0,2.0,0.667,4.0,658.0,185.0,76.0,24.0,96.0,0.0,3.0,0.261,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Travis Demeritte,641513,116,14.0,7.0,7.0,1.0,2.0,1.0,19.0,7.0,0.0,13.0,0.0,0.265,49.0,0.351,0.429,0.779,0.0,3.0,1.0,1.0,253.0,57.0,21.0,4.0,27.0,0.0,1.0,0.4,0.64,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Victor Reyes,622682,116,28.0,36.0,12.0,4.0,3.0,0.0,22.0,7.0,0.0,28.0,0.0,0.275,102.0,0.321,0.373,0.694,1.0,1.0,0.5,3.0,455.0,109.0,38.0,7.0,35.0,0.0,0.0,0.35,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.83,7.5,0.0,6.0,14.17,3.0,0.0,0.68,0.0,9.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
