Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Frazier,624428,134,116.0,126.0,58.0,25.0,4.0,6.0,57.0,32.0,4.0,113.0,7.0,0.264,428.0,0.325,0.383,0.708,4.0,3.0,0.429,2.0,1792.0,470.0,164.0,32.0,141.0,2.0,1.0,0.292,0.93,71.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,4.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Bryan Reynolds,668804,134,102.0,89.0,65.0,26.0,2.0,13.0,89.0,39.0,0.0,115.0,6.0,0.323,356.0,0.396,0.517,0.913,2.0,1.0,0.333,8.0,1595.0,404.0,184.0,50.0,127.0,0.0,3.0,0.397,1.35,27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,2.0,0.5,1.0,0.5,1.5,1.0,1.0,True
Colin Moran,592567,134,119.0,87.0,37.0,21.0,1.0,11.0,92.0,25.0,4.0,102.0,2.0,0.283,361.0,0.33,0.438,0.768,0.0,0.0,0.0,8.0,1409.0,391.0,158.0,64.0,167.0,0.0,3.0,0.349,1.05,32.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Elias Diaz,553869,134,81.0,71.0,26.0,13.0,0.0,1.0,46.0,21.0,0.0,61.0,0.0,0.248,246.0,0.305,0.313,0.618,0.0,0.0,0.0,9.0,1112.0,269.0,77.0,23.0,102.0,0.0,2.0,0.299,1.01,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Erik Gonzalez,570481,134,27.0,29.0,4.0,2.0,1.0,0.0,20.0,7.0,3.0,14.0,0.0,0.194,72.0,0.266,0.25,0.516,0.0,4.0,1.0,3.0,286.0,82.0,18.0,2.0,40.0,3.0,0.0,0.269,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jacob Stallings,607732,134,47.0,31.0,14.0,4.0,0.0,4.0,26.0,10.0,5.0,31.0,2.0,0.265,117.0,0.333,0.402,0.735,0.0,0.0,0.0,1.0,436.0,129.0,47.0,9.0,51.0,0.0,0.0,0.31,1.07,29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Jose Osuna,591741,134,59.0,34.0,21.0,13.0,0.0,8.0,24.0,9.0,0.0,39.0,1.0,0.312,125.0,0.358,0.608,0.966,0.0,0.0,0.0,4.0,513.0,138.0,76.0,26.0,47.0,0.0,2.0,0.326,1.13,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Josh Bell,605137,134,121.0,121.0,84.0,36.0,3.0,31.0,106.0,60.0,9.0,126.0,3.0,0.279,451.0,0.363,0.579,0.942,1.0,0.0,0.0,8.0,2082.0,520.0,261.0,98.0,185.0,0.0,6.0,0.297,1.16,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,4.0,0.5,2.0,0.5,1.75,1.25,1.0,True
Kevin Newman,621028,134,96.0,119.0,34.0,14.0,3.0,7.0,48.0,21.0,2.0,106.0,3.0,0.299,355.0,0.342,0.414,0.756,6.0,10.0,0.625,4.0,1391.0,382.0,147.0,42.0,154.0,2.0,1.0,0.329,1.4,50.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Melky Cabrera,466320,134,108.0,108.0,37.0,19.0,1.0,6.0,36.0,14.0,2.0,88.0,1.0,0.278,317.0,0.31,0.401,0.711,0.0,2.0,1.0,12.0,1155.0,333.0,127.0,39.0,135.0,1.0,0.0,0.298,1.26,52.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,2.42,1.24,7.27,0.35,26.0,16.23,2.77,0.0,0.61,1.82,6.92,3.81,1.23,0.75,3.0,0.333,1.0,0.333,0.666,0.333,1.0,False
