Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Alex Gordon,460086,118,97.0,112.0,58.0,26.0,1.0,11.0,70.0,33.0,3.0,101.0,12.0,0.28,361.0,0.354,0.449,0.803,1.0,5.0,0.833,7.0,1528.0,413.0,162.0,60.0,131.0,1.0,6.0,0.315,1.32,0.345,10.0,0.367,0.884,0.517,0.333,19.0,0.391,0.865,0.474,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
Billy Hamilton,571740,118,86.0,65.0,30.0,10.0,2.0,0.0,65.0,23.0,0.0,55.0,0.0,0.217,253.0,0.281,0.273,0.553,5.0,17.0,0.773,1.0,1091.0,281.0,69.0,12.0,97.0,3.0,2.0,0.289,0.89,0.231,3.0,0.214,0.522,0.308,0.2,6.0,0.194,0.461,0.267,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,4.0,0.0,0.0,0.2,0.2,0.0,1.0
Bubba Starling,605490,118,9.0,9.0,8.0,2.0,0.0,1.0,8.0,3.0,0.0,9.0,0.0,0.281,32.0,0.343,0.438,0.78,0.0,1.0,1.0,0.0,135.0,35.0,14.0,3.0,13.0,0.0,0.0,0.348,1.5,0.308,8.0,0.357,0.857,0.5,0.281,9.0,0.343,0.781,0.438,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Gallagher,595956,118,39.0,28.0,11.0,6.0,0.0,1.0,26.0,10.0,0.0,23.0,3.0,0.217,106.0,0.3,0.302,0.602,1.0,0.0,0.0,3.0,478.0,121.0,32.0,9.0,38.0,1.0,1.0,0.275,0.9,0.3,6.0,0.44,0.94,0.5,0.297,11.0,0.435,0.949,0.514,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,5.0,0.4,2.0,0.4,1.0,0.6,0.0
Cheslor Cuthbert,596144,118,44.0,45.0,13.0,8.0,0.0,6.0,40.0,8.0,1.0,50.0,0.0,0.296,169.0,0.328,0.45,0.777,0.0,1.0,1.0,9.0,695.0,177.0,76.0,25.0,72.0,0.0,0.0,0.358,1.32,0.296,8.0,0.367,0.848,0.481,0.296,16.0,0.333,0.777,0.444,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Humberto Arteaga,600858,118,16.0,26.0,6.0,1.0,0.0,0.0,10.0,4.0,0.0,11.0,1.0,0.196,56.0,0.262,0.214,0.477,0.0,1.0,1.0,2.0,229.0,63.0,12.0,2.0,27.0,2.0,0.0,0.239,2.36,0.16,4.0,0.25,0.41,0.16,0.204,11.0,0.271,0.493,0.222,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Dozier,641531,118,80.0,54.0,43.0,18.0,5.0,15.0,77.0,38.0,2.0,84.0,3.0,0.288,292.0,0.372,0.538,0.91,1.0,1.0,0.5,6.0,1284.0,336.0,157.0,53.0,129.0,0.0,3.0,0.34,0.68,0.292,7.0,0.414,0.872,0.458,0.281,16.0,0.359,0.833,0.474,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,8.0,0.25,2.0,0.25,0.875,0.625,0.0
Jorge Soler,624585,118,103.0,85.0,51.0,20.0,0.0,27.0,117.0,39.0,0.0,93.0,7.0,0.247,376.0,0.328,0.516,0.844,1.0,0.0,0.0,12.0,1707.0,424.0,194.0,71.0,167.0,0.0,2.0,0.282,1.02,0.318,7.0,0.483,1.074,0.591,0.32,16.0,0.452,1.072,0.62,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0
Lucas Duda,446263,118,37.0,22.0,6.0,4.0,0.0,4.0,31.0,11.0,1.0,16.0,0.0,0.158,101.0,0.237,0.317,0.554,0.0,0.0,0.0,3.0,503.0,114.0,32.0,15.0,39.0,0.0,2.0,0.176,0.65,0.118,2.0,0.118,0.471,0.353,0.17,8.0,0.204,0.566,0.362,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Meibrys Viloria,650619,118,3.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.222,9.0,0.364,0.222,0.586,0.0,0.0,0.0,0.0,52.0,11.0,2.0,0.0,2.0,0.0,0.0,0.5,1.0,0.222,2.0,0.364,0.586,0.222,0.222,2.0,0.364,0.586,0.222,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nicky Lopez,670032,118,59.0,93.0,28.0,11.0,1.0,1.0,39.0,11.0,0.0,52.0,1.0,0.226,230.0,0.264,0.296,0.56,1.0,1.0,0.5,4.0,907.0,246.0,68.0,13.0,107.0,4.0,0.0,0.268,1.86,0.115,3.0,0.115,0.23,0.115,0.182,10.0,0.211,0.429,0.218,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Whit Merrifield,593160,118,103.0,93.0,72.0,28.0,9.0,12.0,81.0,33.0,4.0,132.0,3.0,0.306,432.0,0.357,0.495,0.853,8.0,15.0,0.652,5.0,1777.0,470.0,214.0,51.0,140.0,0.0,2.0,0.352,0.73,0.233,7.0,0.303,0.636,0.333,0.29,18.0,0.371,0.839,0.468,0.26,4.97,0.59,9.24,2.15,25.1,15.63,5.38,0.0,0.66,4.67,4.97,1.07,1.14,0.0,9.0,0.111,1.0,0.111,0.555,0.444,0.0
Carlos Santana,467793,114,100.0,111.0,67.0,21.0,1.0,21.0,66.0,71.0,8.0,101.0,1.0,0.28,361.0,0.4,0.518,0.918,0.0,4.0,1.0,12.0,1757.0,433.0,187.0,54.0,154.0,0.0,0.0,0.292,1.34,0.16,4.0,0.3,0.58,0.28,0.161,9.0,0.288,0.645,0.357,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Francisco Lindor,596019,114,82.0,91.0,52.0,21.0,1.0,16.0,62.0,27.0,6.0,99.0,3.0,0.293,338.0,0.348,0.503,0.851,2.0,15.0,0.882,3.0,1383.0,372.0,170.0,40.0,95.0,1.0,3.0,0.316,1.01,0.333,10.0,0.355,0.888,0.533,0.292,19.0,0.313,0.867,0.554,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,7.0,0.571,4.0,0.625,1.482,0.857,1.0
Greg Allen,656185,114,40.0,22.0,15.0,5.0,3.0,2.0,22.0,5.0,0.0,24.0,5.0,0.264,91.0,0.333,0.451,0.784,1.0,2.0,0.667,1.0,416.0,104.0,41.0,17.0,44.0,2.0,1.0,0.324,0.85,0.5,6.0,0.6,1.183,0.583,0.469,15.0,0.541,1.26,0.719,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Jake Bauers,641343,114,94.0,69.0,40.0,14.0,1.0,11.0,90.0,32.0,0.0,76.0,3.0,0.239,318.0,0.313,0.393,0.706,3.0,2.0,0.4,2.0,1455.0,355.0,125.0,37.0,151.0,0.0,2.0,0.297,0.81,0.25,6.0,0.357,0.69,0.333,0.226,12.0,0.305,0.645,0.34,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Jason Kipnis,543401,114,80.0,87.0,31.0,14.0,1.0,7.0,58.0,27.0,0.0,74.0,0.0,0.244,303.0,0.301,0.366,0.668,1.0,5.0,0.833,4.0,1316.0,339.0,111.0,37.0,117.0,4.0,5.0,0.276,0.94,0.308,8.0,0.345,0.691,0.346,0.268,15.0,0.317,0.674,0.357,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,4.0,0.25,1.0,0.25,0.5,0.25,1.0
Jordan Luplow,656669,114,62.0,37.0,29.0,10.0,0.0,10.0,50.0,20.0,0.0,44.0,1.0,0.259,170.0,0.339,0.494,0.833,2.0,2.0,0.5,5.0,795.0,192.0,84.0,28.0,69.0,0.0,1.0,0.306,0.93,0.333,6.0,0.429,1.04,0.611,0.265,9.0,0.375,0.787,0.412,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Ramirez,608070,114,98.0,80.0,48.0,21.0,2.0,10.0,52.0,42.0,3.0,87.0,2.0,0.236,369.0,0.313,0.385,0.698,4.0,22.0,0.846,8.0,1669.0,418.0,142.0,47.0,172.0,0.0,5.0,0.247,0.52,0.286,8.0,0.3,0.871,0.571,0.333,20.0,0.344,0.944,0.6,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,5.0,0.2,1.0,0.333,0.533,0.2,1.0
Kevin Plawecki,608700,114,39.0,25.0,10.0,7.0,0.0,2.0,22.0,9.0,0.0,22.0,2.0,0.214,103.0,0.287,0.34,0.627,1.0,0.0,0.0,2.0,422.0,115.0,35.0,12.0,47.0,0.0,1.0,0.25,0.71,0.389,7.0,0.421,0.865,0.444,0.282,11.0,0.31,0.695,0.385,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0
Mike Freeman,502273,114,40.0,23.0,13.0,4.0,0.0,3.0,28.0,12.0,0.0,23.0,1.0,0.274,84.0,0.367,0.429,0.796,2.0,1.0,0.333,0.0,399.0,102.0,36.0,13.0,27.0,4.0,1.0,0.37,1.53,0.278,5.0,0.316,0.816,0.5,0.333,11.0,0.353,0.929,0.576,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Oscar Mercado,640458,114,56.0,57.0,37.0,13.0,2.0,8.0,44.0,13.0,0.0,63.0,4.0,0.29,217.0,0.34,0.479,0.82,2.0,9.0,0.818,6.0,870.0,239.0,104.0,29.0,83.0,4.0,1.0,0.331,0.98,0.321,9.0,0.355,0.926,0.571,0.273,15.0,0.328,0.892,0.564,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,2.0,1.0,2.0,1.0,2.5,1.5,0.0
Roberto Perez,547379,114,73.0,65.0,31.0,6.0,1.0,16.0,78.0,30.0,0.0,57.0,2.0,0.238,239.0,0.324,0.473,0.796,0.0,0.0,0.0,8.0,1180.0,277.0,113.0,40.0,119.0,2.0,4.0,0.275,1.44,0.074,2.0,0.103,0.214,0.111,0.222,12.0,0.29,0.697,0.407,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Naquin,571980,114,63.0,49.0,24.0,16.0,0.0,9.0,49.0,10.0,2.0,57.0,1.0,0.288,198.0,0.322,0.505,0.827,1.0,4.0,0.8,5.0,771.0,212.0,100.0,30.0,81.0,1.0,2.0,0.338,1.07,0.364,8.0,0.375,1.102,0.727,0.365,19.0,0.404,1.077,0.673,0.375,10.32,1.73,14.29,3.24,11.1,17.91,10.54,0.75,0.63,1.4,5.56,3.97,2.03,0.0,2.0,0.5,1.0,0.5,2.5,2.0,1.0
Chad Pinder,640461,133,75.0,72.0,30.0,12.0,0.0,8.0,51.0,9.0,0.0,53.0,4.0,0.243,218.0,0.282,0.408,0.69,1.0,0.0,0.0,7.0,830.0,234.0,89.0,30.0,99.0,0.0,3.0,0.278,1.6,0.222,4.0,0.211,0.6,0.389,0.2,8.0,0.214,0.514,0.3,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Herrmann,543302,133,11.0,3.0,3.0,2.0,0.0,1.0,13.0,2.0,0.0,9.0,0.0,0.281,32.0,0.324,0.438,0.761,0.0,0.0,0.0,2.0,152.0,34.0,14.0,7.0,21.0,0.0,0.0,0.444,0.43,0.2,4.0,0.238,0.488,0.25,0.281,9.0,0.324,0.762,0.438,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Franklin Barreto,620439,133,14.0,14.0,6.0,1.0,0.0,2.0,16.0,1.0,0.0,5.0,0.0,0.122,41.0,0.143,0.293,0.436,0.0,1.0,1.0,0.0,165.0,42.0,12.0,4.0,21.0,0.0,0.0,0.13,2.33,0.167,3.0,0.211,0.544,0.333,0.122,5.0,0.143,0.436,0.293,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,1.0,1.0,1.0,1.0,2.0,1.0,0.0
Josh Phegley,572033,133,79.0,55.0,34.0,14.0,0.0,10.0,42.0,10.0,0.0,57.0,5.0,0.243,235.0,0.283,0.43,0.713,0.0,0.0,0.0,9.0,934.0,255.0,101.0,47.0,91.0,1.0,4.0,0.251,0.64,0.182,4.0,0.208,0.526,0.318,0.189,10.0,0.214,0.478,0.264,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Jurickson Profar,595777,133,90.0,93.0,40.0,14.0,1.0,14.0,54.0,23.0,2.0,67.0,6.0,0.211,317.0,0.277,0.394,0.671,0.0,7.0,1.0,6.0,1343.0,347.0,125.0,47.0,141.0,0.0,1.0,0.212,0.89,0.118,2.0,0.211,0.505,0.294,0.175,7.0,0.267,0.767,0.5,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Khris Davis,501981,133,86.0,71.0,43.0,7.0,0.0,16.0,92.0,28.0,3.0,73.0,3.0,0.227,321.0,0.295,0.399,0.694,0.0,0.0,0.0,6.0,1351.0,352.0,128.0,50.0,156.0,0.0,0.0,0.268,0.84,0.179,5.0,0.233,0.447,0.214,0.161,9.0,0.242,0.421,0.179,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,4.0,0.25,1.0,0.25,0.5,0.25,0.0
Marcus Semien,543760,133,104.0,117.0,72.0,25.0,4.0,15.0,65.0,54.0,1.0,113.0,0.0,0.267,423.0,0.349,0.452,0.801,5.0,6.0,0.545,9.0,1928.0,478.0,191.0,50.0,116.0,0.0,1.0,0.285,0.91,0.2,5.0,0.355,0.795,0.44,0.237,14.0,0.338,0.813,0.475,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,4.0,0.25,1.0,0.25,0.75,0.5,0.0
Mark Canha,592192,133,70.0,50.0,43.0,9.0,1.0,16.0,49.0,35.0,0.0,52.0,8.0,0.249,209.0,0.374,0.531,0.905,2.0,0.0,0.0,5.0,1056.0,254.0,111.0,29.0,84.0,0.0,2.0,0.247,0.83,0.214,6.0,0.29,0.647,0.357,0.281,16.0,0.359,0.92,0.561,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Chapman,656305,133,100.0,95.0,65.0,27.0,3.0,22.0,81.0,46.0,0.0,103.0,4.0,0.275,374.0,0.359,0.54,0.899,1.0,0.0,0.0,7.0,1784.0,426.0,202.0,59.0,120.0,0.0,2.0,0.297,0.98,0.2,4.0,0.273,0.573,0.3,0.333,17.0,0.404,0.914,0.51,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,3.0,0.333,1.0,0.333,1.0,0.667,0.0
Matt Olson,621566,133,70.0,48.0,39.0,12.0,0.0,21.0,71.0,27.0,3.0,68.0,5.0,0.262,260.0,0.342,0.55,0.892,0.0,0.0,0.0,4.0,1229.0,292.0,143.0,44.0,106.0,0.0,0.0,0.28,0.66,0.308,8.0,0.379,0.802,0.423,0.321,18.0,0.387,0.958,0.571,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,4.0,0.25,1.0,0.25,0.75,0.5,1.0
Ramon Laureano,657656,133,103.0,68.0,66.0,25.0,0.0,20.0,111.0,21.0,0.0,105.0,9.0,0.283,371.0,0.332,0.512,0.844,2.0,12.0,0.857,6.0,1631.0,407.0,190.0,54.0,157.0,0.0,6.0,0.346,0.73,0.393,11.0,0.433,1.076,0.643,0.411,23.0,0.429,1.286,0.857,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,4.0,0.75,3.0,0.75,1.75,1.0,0.0
Robbie Grossman,543257,133,86.0,70.0,37.0,17.0,1.0,5.0,48.0,40.0,1.0,69.0,0.0,0.257,269.0,0.352,0.383,0.735,4.0,6.0,0.6,5.0,1200.0,310.0,103.0,29.0,88.0,0.0,1.0,0.295,0.84,0.217,5.0,0.28,0.541,0.261,0.289,13.0,0.407,0.763,0.356,0.309,5.92,1.2,11.1,1.12,24.1,17.51,5.98,1.0,0.63,2.0,6.66,3.33,1.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Asdrubal Cabrera,452678,140,88.0,65.0,42.0,14.0,0.0,12.0,83.0,37.0,1.0,69.0,2.0,0.227,304.0,0.311,0.391,0.703,0.0,4.0,1.0,6.0,1432.0,347.0,119.0,47.0,140.0,0.0,4.0,0.268,0.71,0.292,7.0,0.308,0.808,0.5,0.213,10.0,0.304,0.623,0.319,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,12.0,0.083,1.0,0.083,0.166,0.083,1.0
Danny Santana,542454,140,74.0,51.0,45.0,15.0,4.0,13.0,76.0,11.0,1.0,80.0,3.0,0.316,253.0,0.348,0.561,0.909,5.0,12.0,0.706,5.0,988.0,271.0,142.0,36.0,92.0,0.0,3.0,0.401,1.04,0.367,11.0,0.367,1.067,0.7,0.379,22.0,0.4,1.09,0.69,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Delino DeShields,592261,140,67.0,51.0,24.0,9.0,1.0,3.0,50.0,25.0,0.0,49.0,2.0,0.257,191.0,0.345,0.361,0.707,4.0,12.0,0.75,3.0,900.0,225.0,69.0,19.0,65.0,5.0,2.0,0.329,1.06,0.238,5.0,0.238,0.667,0.429,0.318,14.0,0.318,0.818,0.5,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,9.0,0.444,4.0,0.444,1.0,0.556,0.0
Elvis Andrus,462101,140,91.0,117.0,52.0,20.0,3.0,8.0,63.0,19.0,0.0,107.0,4.0,0.288,372.0,0.325,0.422,0.747,4.0,22.0,0.846,11.0,1563.0,400.0,157.0,49.0,164.0,0.0,5.0,0.324,1.3,0.148,4.0,0.148,0.333,0.185,0.175,10.0,0.226,0.472,0.246,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,30.0,0.333,10.0,0.412,0.979,0.567,0.0
Hunter Pence,452254,140,63.0,56.0,46.0,15.0,1.0,15.0,52.0,18.0,0.0,65.0,2.0,0.293,222.0,0.348,0.572,0.92,1.0,3.0,0.75,2.0,934.0,244.0,127.0,49.0,91.0,0.0,2.0,0.318,1.1,0.333,8.0,0.36,0.735,0.375,0.333,17.0,0.393,0.942,0.549,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,11.0,0.182,2.0,0.182,0.637,0.455,0.0
Jeff Mathis,425772,140,58.0,29.0,14.0,3.0,0.0,2.0,59.0,12.0,0.0,25.0,0.0,0.152,164.0,0.209,0.207,0.416,0.0,0.0,0.0,0.0,698.0,177.0,34.0,9.0,50.0,0.0,1.0,0.221,0.56,0.125,2.0,0.222,0.347,0.125,0.15,6.0,0.19,0.415,0.225,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,13.0,0.077,1.0,0.143,0.22,0.077,0.0
Logan Forsythe,523253,140,69.0,53.0,30.0,16.0,1.0,6.0,65.0,33.0,0.0,54.0,2.0,0.251,215.0,0.353,0.419,0.772,0.0,2.0,1.0,7.0,1166.0,253.0,90.0,34.0,90.0,0.0,2.0,0.329,1.18,0.158,3.0,0.238,0.712,0.474,0.159,7.0,0.224,0.61,0.386,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,8.0,0.0,0.0,0.111,0.111,0.0,0.0
Nomar Mazara,608577,140,91.0,99.0,54.0,20.0,1.0,14.0,87.0,23.0,2.0,89.0,5.0,0.255,349.0,0.307,0.438,0.745,1.0,4.0,0.8,5.0,1560.0,381.0,153.0,53.0,152.0,0.0,4.0,0.298,1.27,0.185,5.0,0.214,0.621,0.407,0.211,12.0,0.254,0.64,0.386,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,8.0,0.125,1.0,0.222,0.347,0.125,1.0
Rougned Odor,596059,140,86.0,63.0,48.0,17.0,1.0,18.0,112.0,23.0,0.0,64.0,2.0,0.204,314.0,0.262,0.436,0.698,6.0,7.0,0.538,3.0,1382.0,341.0,137.0,58.0,137.0,1.0,1.0,0.249,0.82,0.333,9.0,0.333,1.259,0.926,0.263,15.0,0.276,0.925,0.649,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,9.0,0.222,2.0,0.222,0.555,0.333,1.0
Shin-Soo Choo,425783,140,96.0,94.0,64.0,23.0,2.0,17.0,99.0,45.0,2.0,103.0,12.0,0.282,365.0,0.378,0.496,0.874,1.0,8.0,0.889,2.0,1749.0,423.0,181.0,41.0,120.0,0.0,1.0,0.344,1.34,0.207,6.0,0.258,0.672,0.414,0.298,17.0,0.394,0.973,0.579,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,22.0,0.091,2.0,0.231,0.367,0.136,1.0
Tim Federowicz,543148,140,25.0,13.0,6.0,2.0,0.0,4.0,27.0,4.0,0.0,11.0,0.0,0.18,61.0,0.231,0.41,0.641,0.0,0.0,0.0,0.0,298.0,68.0,25.0,7.0,25.0,3.0,0.0,0.233,1.0,0.067,1.0,0.125,0.192,0.067,0.152,5.0,0.2,0.564,0.364,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willie Calhoun,641432,140,26.0,20.0,15.0,5.0,0.0,5.0,19.0,5.0,0.0,26.0,0.0,0.277,94.0,0.313,0.489,0.802,0.0,0.0,0.0,2.0,370.0,99.0,46.0,13.0,38.0,0.0,0.0,0.3,0.69,0.217,5.0,0.25,0.598,0.348,0.231,12.0,0.259,0.663,0.404,0.25,4.25,1.73,8.19,1.85,29.2,14.26,4.32,0.333,0.63,2.0,3.64,1.82,1.11,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Albert Pujols,405395,108,80.0,93.0,36.0,14.0,0.0,15.0,41.0,27.0,1.0,72.0,2.0,0.244,295.0,0.305,0.444,0.749,0.0,0.0,0.0,13.0,1247.0,331.0,131.0,59.0,144.0,0.0,7.0,0.232,0.97,0.346,9.0,0.357,0.934,0.577,0.271,16.0,0.29,0.731,0.441,0.375,10.8,0.55,16.2,2.9,6.2,20.7,13.06,1.0,0.63,3.0,12.15,4.05,2.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrelton Simmons,592743,108,67.0,96.0,34.0,14.0,0.0,5.0,24.0,10.0,0.0,75.0,1.0,0.281,267.0,0.309,0.39,0.699,1.0,8.0,0.889,15.0,895.0,278.0,104.0,27.0,121.0,0.0,0.0,0.294,1.33,0.222,6.0,0.222,0.444,0.222,0.267,16.0,0.29,0.673,0.383,0.375,10.8,0.55,16.2,2.9,6.2,20.7,13.06,1.0,0.63,3.0,12.15,4.05,2.25,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
Brian Goodwin,571718,108,83.0,49.0,41.0,16.0,2.0,8.0,67.0,20.0,2.0,69.0,2.0,0.285,242.0,0.341,0.467,0.808,2.0,3.0,0.6,1.0,1155.0,268.0,113.0,27.0,91.0,1.0,3.0,0.359,0.8,0.353,6.0,0.353,1.177,0.824,0.242,8.0,0.286,0.801,0.515,0.375,10.8,0.55,16.2,2.9,6.2,20.7,13.06,1.0,0.63,3.0,12.15,4.05,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
David Fletcher,664058,108,96.0,110.0,53.0,20.0,3.0,5.0,35.0,34.0,1.0,103.0,0.0,0.293,351.0,0.355,0.41,0.765,3.0,7.0,0.7,7.0,1602.0,386.0,144.0,34.0,127.0,0.0,1.0,0.314,1.06,0.233,7.0,0.258,0.491,0.233,0.323,21.0,0.371,0.833,0.462,0.375,10.8,0.55,16.2,2.9,6.2,20.7,13.06,1.0,0.63,3.0,12.15,4.05,2.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
