Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Edwin Encarnacion,429665,147,94.0,64.0,70.0,13.0,0.0,30.0,88.0,52.0,1.0,81.0,6.0,0.226,358.0,0.332,0.514,0.846,1.0,0.0,0.0,4.0,1841.0,419.0,184.0,72.0,135.0,0.0,3.0,0.21,0.5,0.281,9.0,0.324,0.887,0.563,0.25,15.0,0.318,0.885,0.567,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,50.0,0.28,14.0,0.294,0.874,0.58,0.0
Gio Urshela,570482,147,84.0,70.0,42.0,20.0,0.0,10.0,48.0,17.0,0.0,78.0,4.0,0.295,264.0,0.343,0.485,0.827,1.0,1.0,0.5,9.0,1097.0,289.0,128.0,46.0,113.0,0.0,4.0,0.324,0.97,0.167,4.0,0.2,0.617,0.417,0.25,13.0,0.264,0.802,0.538,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,5.0,0.6,3.0,0.6,1.2,0.6,0.0
Gleyber Torres,650402,147,94.0,72.0,63.0,17.0,0.0,20.0,85.0,38.0,2.0,103.0,1.0,0.294,350.0,0.361,0.514,0.876,2.0,4.0,0.667,6.0,1618.0,394.0,180.0,55.0,127.0,1.0,4.0,0.333,0.76,0.345,10.0,0.387,0.87,0.483,0.298,17.0,0.365,0.769,0.404,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,12.0,0.25,3.0,0.308,0.558,0.25,0.0
Kyle Higashioka,543309,147,5.0,1.0,3.0,2.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.222,18.0,0.211,0.5,0.711,0.0,0.0,0.0,1.0,83.0,19.0,9.0,2.0,8.0,0.0,1.0,0.3,0.17,0.222,4.0,0.211,0.711,0.5,0.222,4.0,0.211,0.711,0.5,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,2.0,0.5,1.0,0.5,2.5,2.0,0.0
Luke Voit,572228,147,90.0,69.0,58.0,15.0,1.0,19.0,108.0,55.0,1.0,94.0,7.0,0.28,336.0,0.391,0.5,0.891,0.0,0.0,0.0,10.0,1567.0,399.0,168.0,53.0,144.0,0.0,1.0,0.357,1.05,0.348,8.0,0.464,1.116,0.652,0.339,19.0,0.413,0.949,0.536,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,9.0,0.667,6.0,0.667,1.556,0.889,0.0
Mike Tauchman,643565,147,51.0,36.0,28.0,11.0,1.0,6.0,46.0,19.0,0.0,39.0,0.0,0.275,142.0,0.36,0.493,0.853,0.0,2.0,1.0,6.0,725.0,161.0,70.0,25.0,64.0,0.0,0.0,0.367,1.71,0.5,12.0,0.538,1.371,0.833,0.405,17.0,0.479,1.169,0.69,0.358,9.78,0.86,15.26,2.74,23.0,20.09,9.78,0.0,0.67,4.0,6.26,1.57,1.87,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0
Adam Engel,641553,145,33.0,12.0,10.0,2.0,2.0,1.0,27.0,6.0,0.0,19.0,2.0,0.257,74.0,0.329,0.378,0.708,1.0,1.0,0.5,1.0,334.0,83.0,28.0,6.0,37.0,1.0,0.0,0.391,0.71,0.364,8.0,0.44,0.895,0.455,0.359,14.0,0.444,0.906,0.462,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,18.0,0.222,4.0,0.222,0.5,0.278,0.0
AJ Reed,607223,145,10.0,4.0,1.0,0.0,0.0,1.0,13.0,3.0,0.0,6.0,0.0,0.194,31.0,0.257,0.29,0.547,0.0,0.0,0.0,1.0,153.0,35.0,9.0,4.0,16.0,0.0,1.0,0.278,0.44,0.238,5.0,0.292,0.673,0.381,0.194,6.0,0.257,0.547,0.29,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,1.0,1.0,1.0,1.0,2.0,1.0,1.0
James McCann,543510,145,74.0,59.0,41.0,16.0,0.0,12.0,86.0,20.0,1.0,80.0,2.0,0.291,275.0,0.343,0.48,0.823,0.0,4.0,1.0,9.0,1238.0,297.0,132.0,33.0,110.0,0.0,0.0,0.384,1.18,0.172,5.0,0.2,0.579,0.379,0.177,11.0,0.203,0.542,0.339,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,18.0,0.389,7.0,0.389,1.389,1.0,0.0
Jon Jay,445055,145,23.0,30.0,10.0,6.0,0.0,0.0,15.0,4.0,0.0,26.0,1.0,0.302,86.0,0.337,0.372,0.709,0.0,0.0,0.0,1.0,382.0,93.0,32.0,6.0,27.0,1.0,1.0,0.361,1.76,0.25,7.0,0.25,0.536,0.286,0.305,18.0,0.317,0.69,0.373,0.264,3.3,0.96,9.6,1.2,30.0,16.93,4.5,1.0,0.68,2.5,7.5,3.0,1.4,0.33,8.0,0.125,1.0,0.125,0.25,0.125,1.0
