Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Eaton,594809,120,129.0,117.0,90.0,21.0,7.0,12.0,88.0,59.0,0.0,139.0,11.0,0.287,484.0,0.375,0.434,0.809,3.0,13.0,0.813,7.0,2302.0,564.0,210.0,42.0,171.0,7.0,3.0,0.328,0.78,40.33,0.0,0.182,2.0,0.357,0.539,0.182,11.0,0.318,14.0,0.455,1.16,0.705,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,22.0,0.455,10.0,0.556,1.101,0.545,1.0,False
Adrian Sanchez,506703,120,26.0,8.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,0.0,0.241,29.0,0.267,0.241,0.508,0.0,0.0,0.0,0.0,122.0,30.0,7.0,1.0,10.0,0.0,0.0,0.35,1.6,0.0,0.0,0.429,3.0,0.5,0.929,0.429,0.0,0.188,3.0,0.235,0.423,0.188,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.0,False
Andrew Stevenson,664057,120,22.0,3.0,4.0,1.0,0.0,0.0,7.0,5.0,0.0,8.0,1.0,0.364,22.0,0.5,0.409,0.909,0.0,0.0,0.0,1.0,142.0,28.0,9.0,0.0,4.0,0.0,0.0,0.533,0.75,0.0,0.0,0.4,2.0,0.571,0.971,0.4,0.0,0.4,6.0,0.526,0.993,0.467,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Anthony Rendon,543685,120,125.0,100.0,105.0,39.0,3.0,32.0,74.0,57.0,7.0,161.0,12.0,0.338,477.0,0.416,0.633,1.049,1.0,3.0,0.75,12.0,2211.0,553.0,302.0,114.0,197.0,0.0,7.0,0.341,0.67,14.91,9.0,0.481,13.0,0.548,1.474,0.926,11.4,0.491,28.0,0.565,1.425,0.86,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,40.0,0.3,12.0,0.417,0.717,0.3,0.0,True
Asdrubal Cabrera,452678,120,113.0,88.0,58.0,22.0,0.0,15.0,97.0,48.0,2.0,98.0,3.0,0.251,391.0,0.333,0.422,0.755,0.0,4.0,1.0,8.0,1842.0,447.0,165.0,74.0,183.0,0.0,5.0,0.292,0.78,26.07,28.0,0.321,9.0,0.387,0.887,0.5,17.33,0.327,17.0,0.419,1.015,0.596,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,14.0,0.071,1.0,0.235,0.306,0.071,1.0,True
Brian Dozier,572821,120,124.0,79.0,49.0,19.0,0.0,19.0,101.0,58.0,2.0,91.0,4.0,0.235,388.0,0.339,0.43,0.77,4.0,3.0,0.429,9.0,1913.0,451.0,167.0,45.0,166.0,0.0,1.0,0.268,0.67,20.42,0.0,0.235,4.0,0.409,0.644,0.235,11.67,0.257,9.0,0.409,0.923,0.514,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,8.0,0.125,1.0,0.125,0.625,0.5,0.0,False
Gerardo Parra,467827,120,107.0,80.0,35.0,12.0,1.0,7.0,55.0,18.0,2.0,56.0,5.0,0.221,253.0,0.285,0.36,0.645,3.0,8.0,0.727,7.0,1002.0,278.0,91.0,37.0,101.0,1.0,1.0,0.255,1.25,36.14,0.0,0.087,2.0,0.16,0.247,0.087,0.0,0.081,3.0,0.15,0.258,0.108,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,20.0,0.5,10.0,0.524,1.224,0.7,1.0,True
Howie Kendrick,435062,120,103.0,84.0,50.0,22.0,0.0,14.0,44.0,23.0,1.0,92.0,3.0,0.325,283.0,0.376,0.551,0.927,1.0,2.0,0.667,9.0,1163.0,314.0,156.0,56.0,115.0,0.0,5.0,0.339,1.24,20.21,0.0,0.231,3.0,0.231,0.539,0.308,18.0,0.389,14.0,0.436,1.158,0.722,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,10.0,0.2,2.0,0.25,0.55,0.3,0.0,True
Juan Soto,665742,120,128.0,112.0,97.0,27.0,5.0,32.0,113.0,85.0,2.0,142.0,3.0,0.298,476.0,0.405,0.578,0.983,1.0,12.0,0.923,9.0,2381.0,568.0,275.0,98.0,222.0,0.0,4.0,0.328,0.99,14.88,9.33,0.429,12.0,0.467,1.431,0.964,15.0,0.333,20.0,0.412,1.095,0.683,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,18.0,0.222,4.0,0.364,0.753,0.389,1.0,True
Kurt Suzuki,435559,120,80.0,73.0,34.0,10.0,0.0,16.0,36.0,19.0,1.0,71.0,6.0,0.26,273.0,0.319,0.473,0.791,1.0,0.0,0.0,10.0,1025.0,301.0,129.0,58.0,127.0,0.0,3.0,0.246,0.76,17.06,9.33,0.179,5.0,0.233,0.769,0.536,16.0,0.234,15.0,0.279,0.748,0.469,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,10.0,0.4,4.0,0.455,0.955,0.5,0.0,False
