Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Billy McKinney,641856,141,57.0,46.0,29.0,11.0,1.0,9.0,52.0,13.0,0.0,41.0,2.0,0.218,188.0,0.275,0.431,0.705,2.0,0.0,0.0,0.0,754.0,206.0,81.0,20.0,63.0,2.0,1.0,0.25,0.88,20.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bo Bichette,666182,141,17.0,17.0,12.0,12.0,0.0,4.0,19.0,7.0,0.0,27.0,0.0,0.365,74.0,0.42,0.689,1.109,3.0,2.0,0.4,1.0,331.0,81.0,51.0,8.0,24.0,0.0,0.0,0.451,1.55,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Brandon Drury,592273,141,94.0,86.0,36.0,16.0,1.0,14.0,90.0,19.0,0.0,75.0,1.0,0.227,330.0,0.269,0.409,0.678,0.0,0.0,0.0,5.0,1412.0,353.0,135.0,38.0,142.0,0.0,3.0,0.266,1.05,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Cavan Biggio,624415,141,66.0,41.0,40.0,10.0,0.0,10.0,80.0,46.0,0.0,48.0,0.0,0.207,232.0,0.337,0.379,0.716,0.0,9.0,1.0,0.0,1236.0,280.0,88.0,31.0,85.0,0.0,1.0,0.266,0.64,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,2.0,0.5,1.0,0.667,1.667,1.0,0.0,True
Danny Jansen,643376,141,91.0,76.0,33.0,12.0,1.0,11.0,68.0,25.0,0.0,63.0,4.0,0.216,292.0,0.286,0.377,0.662,0.0,0.0,0.0,6.0,1225.0,323.0,110.0,41.0,107.0,1.0,1.0,0.243,0.87,26.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,True
Derek Fisher,605233,141,30.0,24.0,16.0,2.0,1.0,3.0,27.0,11.0,0.0,17.0,0.0,0.202,84.0,0.295,0.357,0.652,1.0,4.0,0.8,1.0,367.0,95.0,30.0,9.0,32.0,0.0,0.0,0.259,1.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Justin Smoak,475253,141,98.0,83.0,46.0,10.0,0.0,19.0,85.0,68.0,1.0,71.0,5.0,0.212,335.0,0.352,0.412,0.764,0.0,0.0,0.0,6.0,1704.0,409.0,138.0,52.0,139.0,0.0,1.0,0.224,0.86,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Randal Grichuk,545341,141,115.0,96.0,58.0,20.0,3.0,22.0,132.0,31.0,0.0,107.0,4.0,0.241,444.0,0.296,0.448,0.744,1.0,2.0,0.667,11.0,1856.0,480.0,199.0,57.0,204.0,0.0,1.0,0.292,0.87,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,2.0,0.5,1.0,0.667,2.167,1.5,1.0,True
Reese McGuire,624512,141,9.0,9.0,4.0,1.0,0.0,2.0,7.0,0.0,0.0,7.0,0.0,0.233,30.0,0.233,0.467,0.7,0.0,0.0,0.0,1.0,102.0,30.0,14.0,3.0,15.0,0.0,0.0,0.238,1.29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rowdy Tellez,642133,141,79.0,61.0,34.0,13.0,0.0,14.0,83.0,17.0,3.0,61.0,4.0,0.228,267.0,0.283,0.434,0.717,1.0,1.0,0.5,8.0,1120.0,290.0,116.0,40.0,127.0,0.0,2.0,0.273,0.95,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Teoscar Hernandez,606192,141,92.0,60.0,46.0,12.0,1.0,19.0,108.0,33.0,1.0,69.0,1.0,0.223,310.0,0.299,0.452,0.75,2.0,4.0,0.667,5.0,1424.0,345.0,140.0,47.0,137.0,0.0,1.0,0.272,0.81,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Vladimir Guerrero Jr.,665489,141,91.0,98.0,45.0,22.0,1.0,13.0,65.0,37.0,0.0,93.0,1.0,0.272,342.0,0.344,0.456,0.8,1.0,0.0,0.0,14.0,1471.0,381.0,156.0,52.0,148.0,0.0,1.0,0.302,1.13,26.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,4.5,0.73,6.3,0.0,10.0,18.4,4.5,1.0,0.63,2.0,10.8,5.4,1.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Danny Santana,542454,140,92.0,68.0,61.0,20.0,6.0,19.0,98.0,14.0,1.0,103.0,3.0,0.311,331.0,0.341,0.58,0.921,6.0,13.0,0.684,5.0,1305.0,353.0,192.0,53.0,120.0,0.0,4.0,0.385,1.03,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Delino DeShields,592261,140,83.0,56.0,29.0,11.0,2.0,3.0,70.0,31.0,0.0,60.0,3.0,0.255,235.0,0.347,0.357,0.704,5.0,16.0,0.762,3.0,1122.0,278.0,84.0,23.0,84.0,7.0,2.0,0.348,0.97,78.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Elvis Andrus,462101,140,108.0,142.0,57.0,23.0,4.0,9.0,71.0,24.0,0.0,125.0,4.0,0.285,438.0,0.323,0.418,0.741,5.0,25.0,0.833,11.0,1850.0,474.0,183.0,57.0,184.0,0.0,8.0,0.317,1.31,48.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,2.0,0.5,1.0,0.5,1.0,0.5,1.0,True
Hunter Pence,452254,140,74.0,63.0,50.0,17.0,1.0,17.0,58.0,21.0,0.0,74.0,2.0,0.287,258.0,0.343,0.558,0.901,1.0,5.0,0.833,2.0,1095.0,283.0,144.0,54.0,106.0,0.0,2.0,0.308,0.97,15.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Isiah Kiner-Falefa,643396,140,47.0,45.0,17.0,8.0,1.0,1.0,37.0,12.0,0.0,31.0,3.0,0.231,134.0,0.307,0.328,0.635,0.0,2.0,1.0,6.0,587.0,151.0,44.0,14.0,81.0,1.0,1.0,0.309,1.96,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,True
Jeff Mathis,425772,140,70.0,35.0,16.0,7.0,0.0,2.0,70.0,14.0,1.0,32.0,0.0,0.165,194.0,0.22,0.232,0.452,0.0,0.0,0.0,1.0,805.0,209.0,45.0,9.0,66.0,0.0,1.0,0.244,0.6,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jose Trevino,624431,140,6.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.15,20.0,0.15,0.15,0.3,0.0,0.0,0.0,0.0,73.0,20.0,3.0,2.0,12.0,0.0,0.0,0.231,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Logan Forsythe,523253,140,82.0,59.0,34.0,16.0,1.0,7.0,78.0,39.0,0.0,62.0,3.0,0.244,254.0,0.349,0.398,0.747,0.0,2.0,1.0,8.0,1361.0,299.0,101.0,38.0,111.0,0.0,2.0,0.322,1.04,36.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Nomar Mazara,608577,140,104.0,104.0,65.0,24.0,1.0,17.0,97.0,26.0,2.0,104.0,6.0,0.266,391.0,0.318,0.463,0.781,1.0,4.0,0.8,5.0,1732.0,428.0,181.0,60.0,167.0,0.0,5.0,0.309,1.14,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,1.0,1.0,1.0,1.0,3.0,2.0,0.0,True
Rougned Odor,596059,140,104.0,75.0,55.0,21.0,1.0,21.0,130.0,35.0,2.0,77.0,3.0,0.204,378.0,0.276,0.431,0.707,8.0,8.0,0.5,4.0,1684.0,418.0,163.0,65.0,163.0,1.0,1.0,0.246,0.77,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Shin-Soo Choo,425783,140,114.0,113.0,72.0,25.0,2.0,19.0,120.0,56.0,2.0,113.0,14.0,0.267,423.0,0.37,0.47,0.841,1.0,8.0,0.889,4.0,2042.0,494.0,199.0,45.0,140.0,0.0,1.0,0.33,1.45,22.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,False
Willie Calhoun,641432,140,42.0,35.0,26.0,9.0,1.0,10.0,30.0,10.0,0.0,41.0,1.0,0.268,153.0,0.317,0.536,0.853,0.0,0.0,0.0,3.0,626.0,164.0,82.0,26.0,62.0,0.0,0.0,0.274,0.74,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,2.18,0.88,7.4,0.45,20.2,19.35,3.56,1.0,0.64,1.38,7.84,5.66,1.45,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Aaron Judge,592450,147,66.0,50.0,46.0,10.0,0.0,12.0,87.0,48.0,4.0,63.0,2.0,0.263,240.0,0.388,0.454,0.842,1.0,2.0,0.667,9.0,1280.0,292.0,109.0,32.0,98.0,0.0,1.0,0.359,1.22,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,5.14,0.96,8.36,1.29,28.0,17.43,5.14,1.0,0.64,2.78,8.04,2.89,1.25,0.33,18.0,0.222,4.0,0.3,1.022,0.722,0.0,False
