Name,ID,Team,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Eaton,594809,120,145.0,131.0,171.0,99.0,24.0,7.0,15.0,101.0,62.0,0.0,155.0,12.0,0.283,547.0,0.367,0.435,0.802,3.0,14.0,0.824,8.0,2566.0,632.0,238.0,48.0,191.0,8.0,3.0,0.323,0.77,36.47,30.0,0.3,9.0,0.364,0.764,0.4,20.67,0.258,16.0,0.303,0.755,0.452,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,18.0,0.278,5.0,0.278,0.778,0.5,1.0,True
Adrian Sanchez,506703,120,27.0,8.0,5.0,3.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,0.0,0.241,29.0,0.267,0.241,0.508,0.0,0.0,0.0,0.0,122.0,30.0,7.0,1.0,10.0,0.0,0.0,0.35,1.6,0.0,0.0,0.5,3.0,0.571,1.071,0.5,0.0,0.2,3.0,0.25,0.45,0.2,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Andrew Stevenson,664057,120,27.0,3.0,4.0,4.0,1.0,1.0,0.0,9.0,6.0,0.0,9.0,1.0,0.36,25.0,0.5,0.48,0.98,0.0,0.0,0.0,1.0,163.0,32.0,12.0,0.0,4.0,0.0,0.0,0.563,0.75,0.0,0.0,0.333,1.0,0.667,1.667,1.0,0.0,0.455,5.0,0.571,1.298,0.727,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,3.0,0.333,1.0,0.5,0.833,0.333,1.0,False
Anthony Rendon,543685,120,141.0,114.0,172.0,114.0,43.0,3.0,34.0,81.0,72.0,8.0,173.0,12.0,0.325,533.0,0.412,0.608,1.02,1.0,4.0,0.8,13.0,2503.0,624.0,324.0,122.0,216.0,0.0,7.0,0.327,0.66,15.68,27.0,0.185,5.0,0.333,0.629,0.296,26.5,0.208,11.0,0.373,0.769,0.396,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,15.0,0.333,5.0,0.412,0.812,0.4,0.0,True
Asdrubal Cabrera,452678,120,126.0,104.0,126.0,62.0,23.0,1.0,17.0,101.0,53.0,2.0,110.0,3.0,0.253,435.0,0.334,0.428,0.762,0.0,4.0,1.0,9.0,2017.0,497.0,186.0,86.0,209.0,0.0,6.0,0.288,0.83,25.59,22.0,0.227,5.0,0.308,0.672,0.364,26.0,0.288,15.0,0.367,0.848,0.481,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,14.0,0.143,2.0,0.143,0.572,0.429,1.0,False
Brian Dozier,572821,120,131.0,85.0,123.0,51.0,19.0,0.0,19.0,103.0,60.0,2.0,94.0,4.0,0.233,404.0,0.337,0.421,0.758,4.0,3.0,0.429,10.0,1996.0,469.0,170.0,47.0,175.0,0.0,1.0,0.265,0.69,21.26,0.0,0.188,3.0,0.278,0.466,0.188,0.0,0.216,8.0,0.356,0.572,0.216,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,7.0,0.286,2.0,0.375,0.804,0.429,0.0,False
Gerardo Parra,467827,120,115.0,85.0,65.0,35.0,12.0,1.0,7.0,58.0,18.0,2.0,56.0,5.0,0.214,262.0,0.276,0.347,0.624,3.0,8.0,0.727,7.0,1034.0,287.0,91.0,37.0,104.0,1.0,1.0,0.247,1.31,37.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,2.0,0.118,0.181,0.063,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,7.0,0.571,4.0,0.625,1.768,1.143,1.0,False
Howie Kendrick,435062,120,117.0,92.0,79.0,58.0,23.0,1.0,16.0,47.0,26.0,1.0,112.0,4.0,0.345,325.0,0.394,0.569,0.964,1.0,2.0,0.667,11.0,1352.0,360.0,185.0,61.0,144.0,0.0,5.0,0.36,1.16,20.31,12.5,0.52,13.0,0.556,1.396,0.84,23.0,0.435,20.0,0.48,1.11,0.63,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Juan Soto,665742,120,144.0,126.0,126.0,107.0,30.0,5.0,34.0,126.0,105.0,2.0,150.0,3.0,0.287,523.0,0.406,0.558,0.964,1.0,12.0,0.923,11.0,2694.0,636.0,292.0,108.0,247.0,0.0,5.0,0.315,1.0,15.38,0.0,0.053,1.0,0.406,0.511,0.105,22.0,0.182,8.0,0.422,0.808,0.386,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,12.0,0.417,5.0,0.563,1.063,0.5,1.0,False
Kurt Suzuki,435559,120,82.0,73.0,96.0,34.0,11.0,0.0,16.0,36.0,19.0,1.0,72.0,6.0,0.263,274.0,0.321,0.478,0.799,1.0,0.0,0.0,10.0,1029.0,302.0,131.0,61.0,127.0,0.0,3.0,0.249,0.76,17.12,10.0,0.2,4.0,0.273,0.823,0.55,14.25,0.263,15.0,0.311,0.855,0.544,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,8.0,0.375,3.0,0.444,1.194,0.75,0.0,False
Matt Adams,571431,120,107.0,52.0,69.0,41.0,14.0,0.0,20.0,110.0,20.0,1.0,67.0,2.0,0.226,297.0,0.278,0.475,0.753,0.0,0.0,0.0,7.0,1265.0,320.0,141.0,56.0,150.0,0.0,1.0,0.28,0.75,14.85,0.0,0.05,1.0,0.095,0.145,0.05,0.0,0.053,2.0,0.143,0.222,0.079,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,7.0,0.429,3.0,0.429,1.0,0.571,1.0,False
Michael A. Taylor,572191,120,50.0,18.0,16.0,8.0,5.0,0.0,0.0,33.0,7.0,0.0,17.0,0.0,0.207,82.0,0.27,0.268,0.538,0.0,4.0,1.0,0.0,367.0,91.0,22.0,2.0,41.0,2.0,0.0,0.347,1.13,0.0,0.0,0.167,1.0,0.167,0.334,0.167,0.0,0.19,4.0,0.19,0.38,0.19,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,2.0,0.5,1.0,0.5,1.5,1.0,0.0,False
Raudy Read,600466,120,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,5.0,0.2,0.2,0.4,0.0,0.0,0.0,1.0,20.0,5.0,1.0,0.0,2.0,0.0,0.0,0.25,2.0,0.0,0.0,0.2,1.0,0.2,0.4,0.2,0.0,0.2,1.0,0.2,0.4,0.2,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Ryan Zimmerman,475582,120,47.0,44.0,43.0,18.0,9.0,0.0,6.0,34.0,15.0,0.0,40.0,0.0,0.252,159.0,0.313,0.421,0.734,0.0,0.0,0.0,4.0,700.0,176.0,67.0,25.0,78.0,0.0,2.0,0.281,1.02,26.5,0.0,0.235,4.0,0.316,0.551,0.235,14.0,0.286,12.0,0.333,0.857,0.524,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,5.0,0.4,2.0,0.5,0.9,0.4,0.0,True
Trea Turner,607208,120,116.0,126.0,119.0,91.0,33.0,5.0,17.0,107.0,43.0,2.0,145.0,3.0,0.293,495.0,0.352,0.483,0.835,5.0,34.0,0.872,10.0,2137.0,543.0,239.0,51.0,141.0,0.0,2.0,0.343,1.06,29.12,10.67,0.281,9.0,0.324,0.949,0.625,15.75,0.27,17.0,0.333,0.873,0.54,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,15.0,0.267,4.0,0.313,0.78,0.467,0.0,True
