Name,ID,Team,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Tres Barrera,668663,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Victor Robles,645302,120,150.0,130.0,142.0,83.0,32.0,3.0,17.0,133.0,34.0,3.0,134.0,24.0,0.253,529.0,0.325,0.422,0.746,9.0,26.0,0.743,6.0,2204.0,597.0,223.0,64.0,213.0,6.0,4.0,0.305,0.92,31.12,0.0,0.231,6.0,0.286,0.517,0.231,0.0,0.278,15.0,0.339,0.691,0.352,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,8.0,0.125,1.0,0.125,0.25,0.125,0.0,False
Wilmer Difo,594694,120,41.0,39.0,29.0,14.0,2.0,0.0,2.0,28.0,12.0,3.0,29.0,0.0,0.234,124.0,0.301,0.298,0.6,1.0,0.0,0.0,2.0,529.0,137.0,37.0,7.0,46.0,1.0,0.0,0.287,1.34,62.0,0.0,0.167,3.0,0.25,0.417,0.167,0.0,0.227,10.0,0.292,0.519,0.227,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,7.0,0.429,3.0,0.545,1.259,0.714,1.0,False
Yan Gomes,543228,120,93.0,71.0,84.0,33.0,15.0,0.0,11.0,78.0,36.0,6.0,68.0,5.0,0.226,301.0,0.319,0.385,0.704,0.0,2.0,1.0,7.0,1356.0,342.0,116.0,40.0,123.0,0.0,0.0,0.269,0.85,27.36,26.0,0.385,10.0,0.429,1.083,0.654,13.5,0.278,15.0,0.328,0.902,0.574,0.24,2.6,1.07,8.13,1.99,27.2,16.27,3.97,0.0,0.64,2.0,6.51,3.25,1.27,0.33,5.0,0.4,2.0,0.571,1.571,1.0,0.0,True
Adam Haseley,656514,143,60.0,63.0,26.0,29.0,13.0,0.0,5.0,53.0,14.0,1.0,52.0,4.0,0.268,194.0,0.33,0.412,0.743,0.0,4.0,1.0,4.0,854.0,212.0,80.0,23.0,74.0,0.0,0.0,0.346,2.42,38.8,0.0,0.32,8.0,0.32,0.76,0.44,22.0,0.318,14.0,0.388,0.911,0.523,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,3.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Andrew Knapp,595284,143,69.0,24.0,27.0,11.0,6.0,0.0,1.0,43.0,18.0,2.0,24.0,3.0,0.207,116.0,0.328,0.284,0.613,0.0,0.0,0.0,2.0,554.0,139.0,33.0,6.0,56.0,2.0,0.0,0.319,0.89,116.0,0.0,0.267,4.0,0.389,0.789,0.4,0.0,0.222,6.0,0.323,0.619,0.296,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,5.0,0.2,1.0,0.2,0.4,0.2,1.0,True
Brad Miller,543543,143,73.0,28.0,36.0,20.0,6.0,1.0,8.0,39.0,14.0,0.0,30.0,1.0,0.226,133.0,0.304,0.466,0.77,0.0,2.0,1.0,1.0,575.0,148.0,62.0,17.0,57.0,0.0,0.0,0.256,0.78,16.62,10.0,0.2,4.0,0.2,0.75,0.55,11.33,0.235,8.0,0.235,0.794,0.559,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,2.0,0.5,1.0,0.5,1.0,0.5,1.0,False
Bryce Harper,547180,143,150.0,110.0,126.0,94.0,34.0,0.0,33.0,172.0,99.0,11.0,140.0,5.0,0.257,545.0,0.374,0.501,0.875,3.0,14.0,0.824,9.0,2664.0,652.0,273.0,108.0,209.0,0.0,3.0,0.312,0.87,16.52,11.5,0.348,8.0,0.429,1.125,0.696,14.33,0.279,12.0,0.407,0.942,0.535,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,20.0,0.3,6.0,0.391,0.841,0.45,1.0,True
Cesar Hernandez,514917,143,154.0,176.0,154.0,71.0,28.0,3.0,12.0,92.0,43.0,4.0,163.0,6.0,0.281,581.0,0.334,0.401,0.735,2.0,9.0,0.818,9.0,2466.0,634.0,233.0,69.0,235.0,0.0,4.0,0.314,1.14,48.42,29.0,0.207,6.0,0.233,0.543,0.31,14.75,0.305,18.0,0.369,0.877,0.508,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,12.0,0.417,5.0,0.462,0.962,0.5,1.0,False
Deivy Grullon,620453,143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J.T. Realmuto,592663,143,145.0,121.0,154.0,92.0,36.0,3.0,25.0,123.0,41.0,2.0,148.0,5.0,0.275,538.0,0.328,0.493,0.82,1.0,9.0,0.9,12.0,2332.0,593.0,265.0,83.0,263.0,0.0,8.0,0.309,0.79,21.52,0.0,0.192,5.0,0.25,0.519,0.269,12.0,0.267,16.0,0.313,0.913,0.6,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,16.0,0.188,3.0,0.222,0.535,0.313,0.0,False
Jay Bruce,457803,143,97.0,60.0,104.0,43.0,17.0,0.0,26.0,81.0,19.0,0.0,67.0,1.0,0.217,309.0,0.262,0.524,0.786,0.0,1.0,1.0,5.0,1222.0,332.0,162.0,59.0,148.0,0.0,3.0,0.2,0.58,11.88,15.0,0.067,1.0,0.067,0.334,0.267,11.5,0.087,2.0,0.087,0.435,0.348,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,17.0,0.176,3.0,0.286,0.639,0.353,1.0,False
Jean Segura,516416,143,140.0,192.0,144.0,78.0,37.0,4.0,12.0,73.0,30.0,1.0,157.0,8.0,0.279,562.0,0.323,0.423,0.747,2.0,10.0,0.833,9.0,2174.0,604.0,238.0,59.0,203.0,1.0,3.0,0.302,1.33,46.83,0.0,0.192,5.0,0.222,0.491,0.269,57.0,0.246,14.0,0.267,0.635,0.368,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,19.0,0.368,7.0,0.455,0.929,0.474,0.0,False
Jose Pirela,517369,143,12.0,4.0,5.0,1.0,1.0,0.0,1.0,7.0,2.0,0.0,4.0,0.0,0.2,20.0,0.273,0.4,0.673,0.0,0.0,0.0,1.0,85.0,22.0,8.0,2.0,6.0,0.0,0.0,0.25,0.8,20.0,10.0,0.2,2.0,0.273,0.873,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,14.0,0.429,6.0,0.5,1.214,0.714,0.0,False
Logan Morrison,489149,143,23.0,7.0,7.0,4.0,1.0,0.0,2.0,7.0,2.0,0.0,6.0,0.0,0.222,27.0,0.276,0.481,0.757,0.0,0.0,0.0,1.0,114.0,29.0,13.0,3.0,10.0,0.0,0.0,0.222,1.0,13.5,0.0,0.143,1.0,0.143,0.286,0.143,7.0,0.214,3.0,0.313,0.956,0.643,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,6.0,0.167,1.0,0.167,0.334,0.167,1.0,False
Maikel Franco,596748,143,116.0,108.0,118.0,46.0,17.0,0.0,16.0,58.0,34.0,17.0,86.0,0.0,0.234,367.0,0.297,0.411,0.708,0.0,0.0,0.0,13.0,1444.0,404.0,151.0,54.0,142.0,0.0,3.0,0.236,0.92,22.94,0.0,0.188,3.0,0.235,0.548,0.313,37.0,0.27,10.0,0.308,0.767,0.459,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,11.0,0.182,2.0,0.167,0.712,0.545,0.0,False
Nick Williams,608384,143,62.0,24.0,22.0,9.0,4.0,0.0,2.0,40.0,4.0,0.0,16.0,2.0,0.157,102.0,0.204,0.255,0.459,0.0,0.0,0.0,1.0,442.0,108.0,26.0,5.0,55.0,0.0,0.0,0.233,1.09,51.0,9.0,0.111,1.0,0.111,0.555,0.444,27.0,0.074,2.0,0.138,0.323,0.185,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Phil Gosselin,594838,143,40.0,14.0,13.0,4.0,3.0,0.0,0.0,13.0,2.0,0.0,15.0,0.0,0.273,55.0,0.298,0.327,0.626,0.0,0.0,0.0,1.0,227.0,57.0,18.0,7.0,20.0,0.0,0.0,0.357,1.08,0.0,0.0,0.5,3.0,0.571,1.071,0.5,0.0,0.385,5.0,0.429,0.814,0.385,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,3.0,0.333,1.0,0.333,0.666,0.333,0.0,False
Rhys Hoskins,656555,143,154.0,88.0,173.0,84.0,33.0,5.0,29.0,166.0,112.0,6.0,126.0,10.0,0.23,548.0,0.367,0.467,0.835,2.0,2.0,0.5,9.0,3100.0,677.0,256.0,83.0,254.0,0.0,5.0,0.271,0.51,18.9,24.0,0.042,1.0,0.179,0.346,0.167,28.0,0.179,10.0,0.258,0.633,0.375,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,12.0,0.25,3.0,0.4,0.817,0.417,0.0,False
Scott Kingery,664068,143,122.0,80.0,110.0,64.0,34.0,4.0,19.0,141.0,34.0,1.0,115.0,5.0,0.259,444.0,0.318,0.482,0.8,4.0,13.0,0.765,3.0,1923.0,486.0,214.0,55.0,179.0,1.0,2.0,0.336,0.73,23.37,0.0,0.25,6.0,0.296,0.754,0.458,25.5,0.176,9.0,0.232,0.624,0.392,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,10.0,0.3,3.0,0.364,1.064,0.7,0.0,True
Sean Rodriguez,446481,143,72.0,26.0,22.0,22.0,5.0,0.0,4.0,38.0,12.0,0.0,23.0,3.0,0.219,105.0,0.314,0.381,0.695,1.0,1.0,0.5,2.0,520.0,124.0,40.0,12.0,51.0,3.0,1.0,0.297,1.18,26.25,0.0,0.182,2.0,0.182,0.455,0.273,0.0,0.211,4.0,0.25,0.513,0.263,0.217,2.48,1.4,7.14,0.93,29.0,17.93,3.41,0.5,0.6,2.18,11.48,5.28,1.38,0.8,13.0,0.231,3.0,0.412,0.874,0.462,0.0,False
Anthony Alford,546990,141,13.0,3.0,5.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,1.0,0.238,21.0,0.273,0.381,0.654,0.0,1.0,1.0,0.0,93.0,22.0,8.0,1.0,6.0,0.0,0.0,0.333,0.6,21.0,13.0,0.308,4.0,0.357,0.895,0.538,21.0,0.238,5.0,0.273,0.654,0.381,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Billy McKinney,641856,141,79.0,56.0,68.0,35.0,14.0,1.0,11.0,70.0,17.0,0.0,53.0,2.0,0.218,243.0,0.273,0.42,0.692,2.0,0.0,0.0,0.0,999.0,266.0,102.0,27.0,75.0,2.0,2.0,0.256,0.82,22.09,10.5,0.286,6.0,0.375,0.946,0.571,17.5,0.2,7.0,0.275,0.675,0.4,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Bo Bichette,666182,141,46.0,47.0,39.0,32.0,18.0,0.0,11.0,50.0,14.0,0.0,61.0,1.0,0.311,196.0,0.358,0.571,0.93,4.0,4.0,0.5,2.0,889.0,212.0,112.0,21.0,63.0,0.0,1.0,0.368,1.21,17.82,26.0,0.346,9.0,0.455,1.032,0.577,19.67,0.271,16.0,0.353,0.828,0.475,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,False
Brandon Drury,592273,141,117.0,107.0,104.0,43.0,21.0,1.0,15.0,110.0,24.0,0.0,90.0,1.0,0.221,408.0,0.264,0.387,0.651,0.0,0.0,0.0,6.0,1733.0,436.0,158.0,41.0,174.0,0.0,3.0,0.262,1.03,27.2,27.0,0.222,6.0,0.3,0.744,0.444,51.0,0.216,11.0,0.286,0.619,0.333,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,2.0,0.5,1.0,0.5,2.5,2.0,0.0,True
Breyvic Valera,591971,141,14.0,6.0,17.0,5.0,1.0,1.0,0.0,5.0,4.0,0.0,7.0,1.0,0.2,35.0,0.3,0.286,0.586,0.0,0.0,0.0,0.0,163.0,40.0,10.0,3.0,9.0,0.0,0.0,0.233,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Cavan Biggio,624415,141,95.0,48.0,96.0,64.0,16.0,2.0,16.0,116.0,67.0,0.0,80.0,1.0,0.237,338.0,0.363,0.438,0.801,0.0,13.0,1.0,0.0,1776.0,409.0,148.0,48.0,120.0,0.0,2.0,0.308,0.5,21.12,10.0,0.4,12.0,0.441,1.274,0.833,14.5,0.345,20.0,0.451,1.123,0.672,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,3.0,0.333,1.0,0.5,1.833,1.333,1.0,True
Danny Jansen,643376,141,106.0,84.0,113.0,40.0,12.0,1.0,13.0,78.0,30.0,0.0,71.0,4.0,0.206,344.0,0.277,0.36,0.638,1.0,0.0,0.0,8.0,1441.0,380.0,124.0,43.0,134.0,1.0,1.0,0.228,0.74,26.46,27.0,0.185,5.0,0.241,0.537,0.296,26.0,0.154,8.0,0.228,0.497,0.269,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Derek Fisher,605233,141,52.0,36.0,23.0,22.0,4.0,1.0,6.0,51.0,21.0,0.0,25.0,0.0,0.185,135.0,0.295,0.363,0.658,1.0,5.0,0.833,3.0,618.0,156.0,49.0,16.0,61.0,0.0,0.0,0.244,1.57,22.5,0.0,0.091,1.0,0.333,0.424,0.091,34.0,0.147,5.0,0.31,0.604,0.294,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jonathan Davis,641505,141,33.0,20.0,25.0,6.0,1.0,0.0,2.0,24.0,3.0,0.0,14.0,3.0,0.173,81.0,0.227,0.259,0.487,1.0,2.0,0.667,1.0,365.0,89.0,21.0,6.0,35.0,1.0,1.0,0.214,0.8,40.5,10.0,0.3,3.0,0.429,1.029,0.6,31.0,0.226,7.0,0.306,0.661,0.355,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,1.0,1.0,1.0,1.0,5.0,4.0,0.0,True
Justin Smoak,475253,141,119.0,100.0,121.0,54.0,14.0,0.0,22.0,104.0,79.0,3.0,83.0,5.0,0.204,407.0,0.339,0.4,0.74,0.0,0.0,0.0,10.0,2014.0,492.0,163.0,58.0,165.0,0.0,1.0,0.216,0.83,18.5,12.5,0.08,2.0,0.179,0.499,0.32,17.0,0.157,8.0,0.271,0.624,0.353,0.316,7.71,0.56,11.57,3.21,14.0,16.93,7.71,0.0,0.65,2.2,7.07,3.21,1.64,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
