Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Juan Soto,665742,120,116.0,102.0,81.0,20.0,4.0,28.0,103.0,81.0,2.0,122.0,2.0,0.286,427.0,0.399,0.548,0.947,1.0,12.0,0.923,8.0,2160.0,514.0,234.0,83.0,201.0,0.0,4.0,0.313,0.98,15.25,10.33,0.226,7.0,0.333,0.914,0.581,8.14,0.298,17.0,0.429,1.148,0.719,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,3.0,0.0,0.0,0.25,0.25,0.0,1.0,False
Kurt Suzuki,435559,120,72.0,65.0,28.0,9.0,0.0,13.0,31.0,18.0,1.0,65.0,4.0,0.27,241.0,0.327,0.469,0.796,1.0,0.0,0.0,7.0,896.0,266.0,113.0,47.0,113.0,0.0,3.0,0.26,0.78,18.54,32.0,0.281,9.0,0.303,0.741,0.438,29.0,0.293,17.0,0.369,0.8,0.431,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Matt Adams,571431,120,95.0,47.0,41.0,14.0,0.0,20.0,96.0,17.0,0.0,66.0,1.0,0.245,269.0,0.292,0.52,0.812,0.0,0.0,0.0,6.0,1138.0,288.0,140.0,56.0,137.0,0.0,1.0,0.299,0.77,13.45,13.5,0.259,7.0,0.259,0.852,0.593,18.67,0.25,14.0,0.3,0.782,0.482,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Trea Turner,607208,120,88.0,93.0,67.0,26.0,4.0,13.0,87.0,33.0,2.0,111.0,3.0,0.296,375.0,0.357,0.491,0.847,5.0,26.0,0.839,9.0,1600.0,412.0,184.0,42.0,105.0,0.0,1.0,0.355,1.09,28.85,17.0,0.324,11.0,0.378,0.937,0.559,16.25,0.354,23.0,0.419,1.004,0.585,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,5.0,0.6,3.0,0.714,1.914,1.2,0.0,True
Victor Robles,645302,120,122.0,103.0,71.0,23.0,3.0,16.0,113.0,29.0,3.0,106.0,20.0,0.25,424.0,0.325,0.432,0.757,7.0,20.0,0.741,6.0,1797.0,483.0,183.0,54.0,173.0,6.0,4.0,0.301,0.92,26.5,27.0,0.333,9.0,0.441,0.96,0.519,27.5,0.327,18.0,0.406,0.933,0.527,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,3.0,0.333,1.0,0.333,0.666,0.333,0.0,True
Yan Gomes,543228,120,74.0,51.0,26.0,11.0,0.0,6.0,60.0,33.0,4.0,50.0,4.0,0.216,232.0,0.323,0.341,0.664,0.0,1.0,1.0,5.0,1090.0,269.0,79.0,28.0,97.0,0.0,0.0,0.265,0.72,38.67,0.0,0.3,6.0,0.44,0.94,0.5,15.0,0.289,13.0,0.439,1.017,0.578,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Anthony Santander,623993,110,67.0,60.0,33.0,15.0,1.0,12.0,52.0,16.0,0.0,74.0,1.0,0.276,268.0,0.316,0.474,0.79,2.0,1.0,0.333,0.0,1167.0,289.0,127.0,36.0,116.0,1.0,3.0,0.3,0.7,22.33,29.0,0.103,3.0,0.133,0.34,0.207,21.0,0.19,12.0,0.203,0.568,0.365,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,6.0,0.167,1.0,0.167,0.5,0.333,0.0,True
Chance Sisco,642082,110,44.0,26.0,23.0,6.0,0.0,6.0,50.0,15.0,0.0,30.0,6.0,0.219,137.0,0.323,0.394,0.717,1.0,0.0,0.0,4.0,674.0,158.0,54.0,18.0,58.0,0.0,0.0,0.296,0.84,22.83,0.0,0.214,3.0,0.353,0.567,0.214,0.0,0.159,7.0,0.26,0.442,0.182,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Chris Davis,448801,110,90.0,47.0,22.0,8.0,0.0,9.0,121.0,31.0,1.0,47.0,3.0,0.179,263.0,0.27,0.312,0.582,0.0,0.0,0.0,6.0,1285.0,300.0,82.0,32.0,112.0,0.0,3.0,0.279,0.92,29.22,0.0,0.118,2.0,0.273,0.449,0.176,18.5,0.162,6.0,0.313,0.664,0.351,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,9.0,0.222,2.0,0.222,0.555,0.333,0.0,False
DJ Stewart,621466,110,14.0,11.0,1.0,2.0,0.0,0.0,14.0,2.0,0.0,10.0,0.0,0.208,48.0,0.24,0.25,0.49,1.0,1.0,0.5,0.0,212.0,50.0,12.0,2.0,12.0,0.0,0.0,0.294,0.85,0.0,0.0,0.25,6.0,0.28,0.613,0.333,0.0,0.208,10.0,0.24,0.49,0.25,0.184,1.91,1.2,6.04,0.96,28.1,13.69,2.88,0.0,0.71,31.0,9.85,0.32,0.71,1.0,2.0,0.5,1.0,0.5,1.5,1.0,0.0,True
