Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Brandon Dixon,641525,116,108.0,59.0,40.0,20.0,3.0,15.0,128.0,21.0,0.0,90.0,4.0,0.247,364.0,0.293,0.442,0.735,1.0,5.0,0.833,4.0,1569.0,393.0,161.0,51.0,156.0,0.0,4.0,0.333,0.65,24.27,19.0,0.211,4.0,0.348,0.769,0.421,48.0,0.208,10.0,0.291,0.666,0.375,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,5.0,0.2,1.0,0.2,0.4,0.2,1.0
Christin Stewart,621514,116,93.0,64.0,32.0,23.0,1.0,10.0,92.0,33.0,3.0,81.0,6.0,0.247,328.0,0.322,0.415,0.736,1.0,0.0,0.0,3.0,1449.0,373.0,136.0,39.0,141.0,0.0,6.0,0.306,0.66,32.8,12.5,0.36,9.0,0.393,1.033,0.64,17.0,0.314,16.0,0.345,0.914,0.569,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawel Lugo,608475,116,67.0,74.0,25.0,8.0,4.0,5.0,52.0,8.0,1.0,56.0,3.0,0.237,236.0,0.267,0.369,0.636,0.0,0.0,0.0,6.0,879.0,251.0,87.0,24.0,101.0,0.0,4.0,0.279,1.28,47.2,28.0,0.143,4.0,0.219,0.505,0.286,30.5,0.262,16.0,0.292,0.718,0.426,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,4.0,0.25,1.0,0.2,0.45,0.25,1.0
Gordon Beckham,493596,116,79.0,49.0,27.0,13.0,2.0,5.0,66.0,13.0,0.0,46.0,4.0,0.215,214.0,0.273,0.364,0.637,1.0,2.0,0.667,6.0,962.0,231.0,78.0,14.0,104.0,0.0,0.0,0.287,0.92,42.8,0.0,0.154,2.0,0.154,0.308,0.154,0.0,0.27,10.0,0.308,0.632,0.324,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Grayson Greiner,606988,116,52.0,50.0,17.0,4.0,1.0,5.0,63.0,13.0,0.0,38.0,1.0,0.202,188.0,0.256,0.314,0.57,0.0,0.0,0.0,4.0,796.0,204.0,59.0,19.0,84.0,1.0,1.0,0.273,1.28,37.6,0.0,0.4,10.0,0.4,0.92,0.52,54.0,0.259,14.0,0.298,0.668,0.37,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Harold Castro,605612,116,88.0,91.0,29.0,9.0,3.0,5.0,77.0,9.0,0.0,97.0,0.0,0.305,318.0,0.32,0.399,0.72,2.0,4.0,0.667,5.0,1185.0,333.0,127.0,38.0,102.0,2.0,4.0,0.383,1.54,63.6,29.0,0.552,16.0,0.581,1.236,0.655,56.0,0.393,22.0,0.414,0.878,0.464,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Rogers,668670,116,30.0,20.0,9.0,2.0,0.0,4.0,46.0,13.0,0.0,11.0,1.0,0.115,96.0,0.227,0.26,0.488,0.0,0.0,0.0,3.0,482.0,112.0,25.0,8.0,50.0,2.0,0.0,0.152,0.95,24.0,0.0,0.1,2.0,0.217,0.367,0.15,0.0,0.085,4.0,0.173,0.301,0.128,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Jeimer Candelario,600869,116,85.0,71.0,32.0,14.0,2.0,7.0,91.0,38.0,1.0,61.0,7.0,0.196,311.0,0.298,0.322,0.619,1.0,3.0,0.75,3.0,1490.0,356.0,100.0,27.0,141.0,0.0,0.0,0.254,0.81,44.43,0.0,0.182,4.0,0.4,0.673,0.273,0.0,0.145,8.0,0.299,0.517,0.218,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,2.0,0.0,0.0,0.333,0.333,0.0,0.0
John Hicks,543308,116,89.0,66.0,28.0,14.0,0.0,12.0,104.0,13.0,0.0,65.0,0.0,0.215,303.0,0.246,0.38,0.626,1.0,1.0,0.5,7.0,1203.0,317.0,115.0,32.0,151.0,0.0,1.0,0.282,0.96,25.25,12.5,0.28,7.0,0.308,0.868,0.56,12.0,0.271,13.0,0.286,0.849,0.563,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Jordy Mercer,474568,116,68.0,57.0,24.0,15.0,0.0,9.0,51.0,11.0,1.0,66.0,2.0,0.281,235.0,0.319,0.46,0.778,0.0,0.0,0.0,2.0,983.0,248.0,108.0,21.0,82.0,0.0,0.0,0.326,0.93,26.11,12.0,0.417,10.0,0.462,1.254,0.792,17.0,0.392,20.0,0.415,1.082,0.667,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,2.0,0.5,1.0,0.667,2.667,2.0,1.0
Miguel Cabrera,408234,116,128.0,118.0,38.0,21.0,0.0,10.0,102.0,46.0,4.0,133.0,3.0,0.285,467.0,0.349,0.394,0.743,0.0,0.0,0.0,18.0,1932.0,521.0,184.0,55.0,157.0,0.0,5.0,0.342,0.99,46.7,0.0,0.292,7.0,0.4,0.733,0.333,53.0,0.34,18.0,0.429,0.882,0.453,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Ronny Rodriguez,500135,116,77.0,58.0,27.0,12.0,3.0,13.0,77.0,11.0,0.0,55.0,0.0,0.216,255.0,0.244,0.439,0.683,1.0,3.0,0.75,5.0,961.0,271.0,112.0,41.0,127.0,0.0,5.0,0.247,0.83,19.62,0.0,0.13,3.0,0.2,0.33,0.13,17.67,0.151,8.0,0.179,0.519,0.34,0.198,3.31,0.55,6.61,1.4,32.2,13.07,3.35,0.0,0.66,8.0,6.61,0.83,0.83,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
