Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Aristides Aquino,606157,113,20.0,13.0,16.0,1.0,0.0,11.0,18.0,7.0,1.0,21.0,1.0,0.313,67.0,0.387,0.821,1.208,0.0,0.0,0.0,1.0,308.0,75.0,55.0,23.0,30.0,0.0,0.0,0.263,0.87,6.09,11.5,0.174,4.0,0.321,0.756,0.435,5.5,0.309,17.0,0.387,1.26,0.873,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Brian O'Grady,657434,113,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.091,11.0,0.091,0.091,0.182,0.0,0.0,0.0,0.0,47.0,11.0,1.0,0.0,4.0,0.0,0.0,0.125,0.17,0.0,0.0,0.111,1.0,0.111,0.222,0.111,0.0,0.091,1.0,0.091,0.182,0.091,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Eugenio Suarez,553993,113,125.0,93.0,68.0,18.0,1.0,34.0,145.0,52.0,3.0,117.0,8.0,0.257,456.0,0.339,0.524,0.863,2.0,3.0,0.6,12.0,2157.0,522.0,239.0,78.0,190.0,0.0,6.0,0.293,0.87,13.41,26.0,0.231,6.0,0.286,0.632,0.346,11.0,0.236,13.0,0.323,0.85,0.527,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,5.0,0.4,2.0,0.4,1.4,1.0,1.0,True
Freddy Galvis,520471,113,124.0,107.0,61.0,25.0,1.0,21.0,122.0,22.0,1.0,134.0,0.0,0.278,482.0,0.308,0.465,0.773,1.0,4.0,0.8,11.0,1955.0,507.0,224.0,61.0,181.0,1.0,2.0,0.331,0.88,22.95,13.0,0.346,9.0,0.357,0.972,0.615,10.67,0.438,14.0,0.441,1.191,0.75,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,True
Jesse Winker,608385,113,113.0,110.0,51.0,17.0,2.0,16.0,60.0,38.0,2.0,91.0,8.0,0.269,338.0,0.357,0.473,0.83,2.0,0.0,0.0,10.0,1522.0,384.0,160.0,38.0,125.0,0.0,0.0,0.286,1.43,21.12,19.0,0.263,5.0,0.391,0.917,0.526,17.5,0.343,12.0,0.452,1.023,0.571,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Jose Iglesias,578428,113,115.0,131.0,52.0,18.0,3.0,9.0,57.0,15.0,3.0,117.0,3.0,0.295,397.0,0.324,0.423,0.747,5.0,5.0,0.5,12.0,1526.0,418.0,168.0,48.0,148.0,1.0,2.0,0.324,1.38,44.11,25.0,0.36,9.0,0.37,0.89,0.52,29.5,0.39,23.0,0.393,1.003,0.61,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,7.0,0.143,1.0,0.143,0.286,0.143,1.0,True
Jose Peraza,606299,113,116.0,72.0,31.0,12.0,2.0,6.0,51.0,13.0,0.0,74.0,8.0,0.239,309.0,0.286,0.35,0.636,5.0,5.0,0.5,9.0,1136.0,332.0,108.0,33.0,115.0,0.0,2.0,0.268,0.63,51.5,0.0,0.182,2.0,0.25,0.432,0.182,0.0,0.27,10.0,0.325,0.649,0.324,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,3.0,0.333,1.0,0.333,1.0,0.667,1.0,False
Josh VanMeter,642165,113,62.0,28.0,20.0,10.0,0.0,4.0,33.0,17.0,0.0,40.0,2.0,0.296,135.0,0.383,0.459,0.842,3.0,5.0,0.625,3.0,629.0,154.0,62.0,15.0,76.0,0.0,0.0,0.367,0.82,33.75,0.0,0.364,8.0,0.44,0.849,0.409,0.0,0.319,15.0,0.36,0.786,0.426,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kyle Farmer,571657,113,81.0,32.0,19.0,5.0,0.0,7.0,46.0,6.0,1.0,36.0,3.0,0.247,146.0,0.288,0.425,0.713,1.0,4.0,0.8,1.0,651.0,156.0,62.0,24.0,61.0,0.0,1.0,0.309,0.97,20.86,0.0,0.154,2.0,0.214,0.368,0.154,36.0,0.25,9.0,0.289,0.65,0.361,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Nick Senzel,669222,113,89.0,87.0,50.0,20.0,4.0,10.0,86.0,26.0,0.0,89.0,2.0,0.264,337.0,0.32,0.436,0.756,4.0,12.0,0.75,6.0,1428.0,371.0,147.0,38.0,103.0,0.0,1.0,0.326,1.14,33.7,25.0,0.16,4.0,0.222,0.502,0.28,28.5,0.193,11.0,0.233,0.549,0.316,0.25,0.0,0.74,9.0,0.0,5.0,18.4,0.0,1.0,0.74,0.0,10.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
