Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Charlie Blackmon,453568,115,113.0,123.0,96.0,34.0,7.0,27.0,88.0,30.0,1.0,152.0,6.0,0.317,480.0,0.363,0.585,0.948,4.0,2.0,0.333,5.0,1952.0,518.0,281.0,73.0,112.0,0.0,2.0,0.341,1.03,17.78,0.0,0.16,4.0,0.214,0.414,0.2,20.33,0.279,17.0,0.328,0.836,0.508,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,27.0,0.222,6.0,0.276,0.646,0.37,1.0,False
Daniel Murphy,502517,115,105.0,96.0,47.0,29.0,1.0,11.0,63.0,28.0,0.0,102.0,1.0,0.283,361.0,0.332,0.46,0.792,1.0,1.0,0.5,8.0,1539.0,396.0,166.0,66.0,145.0,0.0,4.0,0.313,0.92,32.82,0.0,0.3,6.0,0.364,0.864,0.5,0.0,0.239,11.0,0.308,0.656,0.348,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,33.0,0.303,10.0,0.439,0.984,0.545,1.0,False
Dom Nunez,624513,115,5.0,1.0,2.0,2.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,0.267,15.0,0.294,0.6,0.894,0.0,0.0,0.0,0.0,80.0,17.0,9.0,2.0,6.0,0.0,1.0,0.3,0.17,15.0,15.0,0.267,4.0,0.294,0.894,0.6,15.0,0.267,4.0,0.294,0.894,0.6,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,1.0,0.0,0.0,0.5,0.5,0.0,1.0,True
Garrett Hampson,641658,115,76.0,48.0,24.0,7.0,3.0,3.0,68.0,16.0,1.0,42.0,0.0,0.209,201.0,0.266,0.318,0.584,3.0,5.0,0.625,1.0,917.0,220.0,64.0,17.0,84.0,2.0,1.0,0.298,1.04,67.0,19.0,0.158,3.0,0.2,0.516,0.316,38.0,0.184,7.0,0.225,0.541,0.316,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Ian Desmond,435622,115,116.0,103.0,53.0,28.0,3.0,14.0,101.0,31.0,1.0,94.0,2.0,0.255,369.0,0.314,0.461,0.775,3.0,3.0,0.5,11.0,1545.0,405.0,170.0,56.0,170.0,1.0,2.0,0.313,1.39,26.36,0.0,0.133,2.0,0.235,0.435,0.2,39.0,0.154,6.0,0.267,0.523,0.256,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,35.0,0.229,8.0,0.263,0.52,0.257,0.0,False
Nolan Arenado,571448,115,129.0,110.0,86.0,25.0,2.0,33.0,75.0,47.0,9.0,150.0,4.0,0.305,492.0,0.365,0.565,0.93,2.0,2.0,0.5,12.0,1956.0,550.0,278.0,100.0,189.0,0.0,7.0,0.299,0.67,14.91,9.33,0.357,10.0,0.419,1.133,0.714,7.5,0.3,18.0,0.358,1.091,0.733,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,23.0,0.217,5.0,0.217,0.521,0.304,0.0,True
Ryan McMahon,641857,115,113.0,96.0,58.0,19.0,1.0,18.0,123.0,48.0,1.0,101.0,0.0,0.264,382.0,0.346,0.461,0.806,1.0,5.0,0.833,10.0,1790.0,431.0,176.0,68.0,174.0,0.0,1.0,0.343,1.52,21.22,26.0,0.192,5.0,0.276,0.584,0.308,8.83,0.264,14.0,0.371,1.013,0.642,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,2.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Tony Wolters,547172,115,97.0,83.0,37.0,15.0,2.0,1.0,53.0,28.0,4.0,83.0,5.0,0.277,300.0,0.342,0.35,0.692,1.0,0.0,0.0,7.0,1252.0,341.0,105.0,33.0,130.0,2.0,6.0,0.325,0.93,300.0,0.0,0.19,4.0,0.28,0.518,0.238,0.0,0.271,13.0,0.333,0.625,0.292,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,4.0,0.25,1.0,0.4,0.65,0.25,1.0,False
Trevor Story,596115,115,118.0,80.0,94.0,33.0,5.0,28.0,135.0,44.0,0.0,142.0,6.0,0.296,480.0,0.36,0.56,0.921,7.0,19.0,0.731,2.0,2185.0,533.0,269.0,74.0,165.0,0.0,3.0,0.356,0.63,17.14,0.0,0.345,10.0,0.375,0.754,0.379,30.5,0.393,24.0,0.451,1.025,0.574,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,13.0,0.385,5.0,0.5,1.192,0.692,0.0,True
Yonathan Daza,602074,115,24.0,22.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,11.0,0.0,0.18,61.0,0.231,0.18,0.411,0.0,0.0,0.0,2.0,229.0,65.0,11.0,1.0,29.0,0.0,0.0,0.224,1.38,0.0,0.0,0.222,4.0,0.3,0.522,0.222,0.0,0.182,6.0,0.25,0.432,0.182,0.253,3.42,0.85,8.2,0.69,26.1,16.67,3.45,1.0,0.62,1.69,9.23,5.47,1.52,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
