Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Addison Russell,608365,112,63.0,46.0,18.0,3.0,1.0,6.0,40.0,19.0,2.0,37.0,1.0,0.239,155.0,0.322,0.387,0.709,0.0,0.0,0.0,4.0,714.0,178.0,60.0,16.0,62.0,1.0,2.0,0.279,1.31,25.83,0.0,0.111,1.0,0.2,0.311,0.111,24.0,0.208,5.0,0.321,0.654,0.333,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,9.0,0.0,0.0,0.1,0.1,0.0,0.0,False
Anthony Rizzo,519203,112,125.0,126.0,80.0,26.0,2.0,25.0,77.0,63.0,3.0,129.0,22.0,0.29,445.0,0.402,0.526,0.928,2.0,5.0,0.714,14.0,2155.0,532.0,234.0,82.0,177.0,0.0,2.0,0.301,1.1,17.8,6.0,0.444,8.0,0.63,1.63,1.0,11.0,0.341,15.0,0.508,1.167,0.659,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,12.0,0.417,5.0,0.5,1.083,0.583,1.0,False
Ian Happ,664023,112,27.0,13.0,13.0,2.0,1.0,4.0,19.0,10.0,0.0,15.0,0.0,0.238,63.0,0.342,0.492,0.835,0.0,1.0,1.0,0.0,287.0,73.0,31.0,11.0,27.0,0.0,0.0,0.275,0.81,15.75,0.0,0.083,1.0,0.267,0.35,0.083,19.0,0.184,7.0,0.262,0.683,0.421,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,4.0,0.25,1.0,0.5,0.75,0.25,1.0,False
Jason Heyward,518792,112,120.0,117.0,62.0,16.0,4.0,18.0,90.0,53.0,5.0,112.0,3.0,0.265,423.0,0.349,0.449,0.798,2.0,7.0,0.778,10.0,1802.0,481.0,190.0,49.0,153.0,0.0,2.0,0.297,1.1,23.5,25.0,0.2,5.0,0.333,0.733,0.4,50.0,0.18,9.0,0.328,0.628,0.3,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,5.0,0.0,0.0,0.286,0.286,0.0,1.0,True
Javier Baez,595879,112,126.0,130.0,84.0,35.0,4.0,28.0,145.0,24.0,3.0,143.0,0.0,0.283,505.0,0.315,0.535,0.849,6.0,10.0,0.625,16.0,1884.0,531.0,270.0,82.0,195.0,0.0,2.0,0.344,1.46,18.04,0.0,0.231,6.0,0.259,0.567,0.308,0.0,0.218,12.0,0.241,0.55,0.309,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,6.0,0.5,3.0,0.571,1.404,0.833,0.0,True
Jonathan Lucroy,518960,112,83.0,76.0,29.0,10.0,1.0,7.0,45.0,23.0,1.0,66.0,5.0,0.248,266.0,0.316,0.372,0.689,0.0,0.0,0.0,15.0,1222.0,297.0,99.0,34.0,127.0,0.0,3.0,0.272,0.93,38.0,0.0,0.25,5.0,0.348,0.648,0.3,0.0,0.308,8.0,0.379,0.764,0.385,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,8.0,0.5,4.0,0.5,1.125,0.625,0.0,True
Kris Bryant,592178,112,123.0,97.0,91.0,32.0,1.0,26.0,114.0,63.0,1.0,130.0,12.0,0.282,461.0,0.382,0.525,0.907,0.0,2.0,1.0,9.0,2097.0,537.0,242.0,63.0,161.0,0.0,1.0,0.323,0.8,17.73,12.5,0.16,4.0,0.276,0.716,0.44,13.5,0.241,13.0,0.349,0.849,0.5,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,11.0,0.273,3.0,0.333,0.697,0.364,0.0,False
Kyle Schwarber,656941,112,123.0,98.0,61.0,18.0,1.0,29.0,120.0,57.0,4.0,93.0,3.0,0.223,417.0,0.317,0.48,0.797,3.0,1.0,0.25,5.0,1988.0,482.0,200.0,67.0,153.0,0.0,5.0,0.234,0.88,14.38,24.0,0.125,3.0,0.222,0.514,0.292,12.0,0.146,7.0,0.226,0.643,0.417,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Nicholas Castellanos,592206,112,122.0,112.0,76.0,45.0,3.0,19.0,116.0,36.0,1.0,145.0,3.0,0.294,494.0,0.344,0.512,0.856,2.0,2.0,0.5,11.0,1989.0,535.0,253.0,51.0,170.0,0.0,2.0,0.349,0.91,26.0,10.0,0.433,13.0,0.433,1.2,0.767,8.86,0.387,24.0,0.424,1.182,0.758,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,5.0,0.6,3.0,0.667,1.867,1.2,0.0,True
Tony Kemp,643393,112,84.0,63.0,25.0,7.0,3.0,7.0,38.0,18.0,1.0,44.0,4.0,0.216,204.0,0.287,0.382,0.669,3.0,4.0,0.571,4.0,831.0,231.0,78.0,22.0,78.0,1.0,4.0,0.227,0.98,29.14,0.0,0.118,2.0,0.2,0.435,0.235,0.0,0.147,5.0,0.189,0.424,0.235,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,False
Victor Caratini,605170,112,65.0,53.0,21.0,8.0,0.0,6.0,43.0,23.0,0.0,40.0,1.0,0.247,162.0,0.342,0.407,0.75,0.0,1.0,1.0,4.0,740.0,187.0,66.0,23.0,82.0,0.0,1.0,0.298,1.96,27.0,0.0,0.19,4.0,0.261,0.451,0.19,41.0,0.195,8.0,0.298,0.591,0.293,0.2,1.05,1.29,6.31,0.0,25.2,16.52,1.07,0.0,0.59,1.23,5.61,4.56,1.21,1.0,3.0,0.667,2.0,0.8,1.467,0.667,1.0,True
